t,rmse_enkf,rmse_eakf,rmse_enkf_tr,rmse_eakf_tr
0.000000000000000000e+00,8.986123015501149558e-01,8.986123015501149558e-01,9.286102148438740711e-01,1.108876203320746434e+00
5.000000000000000278e-02,9.508881410241811771e-01,9.508881410241811771e-01,9.466488510191296557e-01,1.097262588051128418e+00
1.000000000000000056e-01,1.135947293700570127e+00,1.135947293700570127e+00,1.031278699098882923e+00,1.145686738180050179e+00
1.500000000000000222e-01,1.250726010121204546e+00,1.250726010121204546e+00,1.069032828969523674e+00,1.080025134661151132e+00
2.000000000000000111e-01,1.113472046914681490e+00,1.112251234118447396e+00,9.249115090142954188e-01,8.778474838643809397e-01
2.500000000000000000e-01,1.169530056875201174e+00,1.179393903021722867e+00,9.096527083003410619e-01,8.708907732637412025e-01
3.000000000000000444e-01,1.164673383635506099e+00,1.256206868326629644e+00,8.641725644646790494e-01,9.457007308735343454e-01
3.500000000000000333e-01,1.254928009870786676e+00,1.345228232320902384e+00,9.330942126125493230e-01,1.013727066474464644e+00
4.000000000000000222e-01,1.178502174553859971e+00,1.476162086265222495e+00,8.802268307855405371e-01,1.253338746367470780e+00
4.500000000000000111e-01,1.299685023979955778e+00,1.458937253927948374e+00,8.700504767955824503e-01,1.033395291636851177e+00
5.000000000000000000e-01,1.513046225134215828e+00,1.580458673086454935e+00,8.880391612959773751e-01,8.820552934015237767e-01
5.500000000000000444e-01,1.842888112062455397e+00,1.839071998077203229e+00,8.501772798481467275e-01,7.674273156044005839e-01
6.000000000000000888e-01,1.815722576188004478e+00,1.701693570913571874e+00,1.116873657344197301e+00,8.826637655288909201e-01
6.500000000000000222e-01,1.944382081585581679e+00,1.706805030790380595e+00,1.036804645304977956e+00,8.492721164222766239e-01
7.000000000000000666e-01,2.134868558927182303e+00,1.816197770005937073e+00,1.022426292827869343e+00,8.572938850617074502e-01
7.500000000000000000e-01,2.317893481120714583e+00,1.931470680730001277e+00,1.156778724378281664e+00,9.742941791721250189e-01
8.000000000000000444e-01,2.496711546687355288e+00,2.168558281506202778e+00,1.453346945246609012e+00,1.252076957579813188e+00
8.500000000000000888e-01,2.505928987774275196e+00,2.211180193393102122e+00,1.504510469066923317e+00,1.193265361749562103e+00
9.000000000000000222e-01,2.633011685764397036e+00,2.357283006650901847e+00,1.757451494979534345e+00,1.148300514189715127e+00
9.500000000000000666e-01,2.892375311714233010e+00,2.522236763366325185e+00,2.212864432002187076e+00,1.284345605640051957e+00
1.000000000000000000e+00,2.672974408545126135e+00,2.756323112234547956e+00,1.521238937768998101e+00,1.510073696966320655e+00
1.050000000000000044e+00,2.847990174316209711e+00,2.704852280805061682e+00,1.525244744521489171e+00,1.637301784313785813e+00
1.100000000000000089e+00,3.061328502882148861e+00,2.552822846992681693e+00,1.700523004748636602e+00,1.563927948735430506e+00
1.150000000000000133e+00,3.271556895621088756e+00,2.547107279239984923e+00,1.969708614022254389e+00,1.441908134561067367e+00
1.200000000000000178e+00,2.977435583035587641e+00,3.072985689364863493e+00,1.496005311274056782e+00,2.023021998698397272e+00
1.250000000000000000e+00,3.191474741393304448e+00,2.884005362217541890e+00,1.600824665341799902e+00,1.815525062517953758e+00
1.300000000000000044e+00,3.326193379340702361e+00,2.788923342527239946e+00,1.666412145274525081e+00,1.773352034225723184e+00
1.350000000000000089e+00,3.524501540041546477e+00,2.849659802806480347e+00,1.787721013847479945e+00,1.882248576321353228e+00
1.400000000000000133e+00,4.202526651805051472e+00,2.536344716157813650e+00,2.292176152421848467e+00,1.339997019128106981e+00
1.450000000000000178e+00,4.039094289255570125e+00,2.502119991928507314e+00,2.025755209879787078e+00,1.279999220657179082e+00
1.500000000000000000e+00,3.929088869377060700e+00,2.576228770736128659e+00,1.877420097349035810e+00,1.289204429714804423e+00
1.550000000000000044e+00,3.779829223241901293e+00,2.680507618905637823e+00,1.894597290402654677e+00,1.366157982908308366e+00
1.600000000000000089e+00,5.009837260575054962e+00,2.550407669151889323e+00,3.451213720010091190e+00,1.232576432982013914e+00
1.650000000000000133e+00,4.845486110250202039e+00,2.751584632373010209e+00,3.225609748024949486e+00,1.184354405591802717e+00
1.700000000000000178e+00,4.771071330087433893e+00,3.010484679170152944e+00,3.110895811371731323e+00,1.453791109855393948e+00
1.750000000000000000e+00,4.711465963525787615e+00,3.250646435222789510e+00,3.083910605561149154e+00,1.837710168284168111e+00
1.800000000000000044e+00,5.542349760621425148e+00,3.705451745108698347e+00,3.580189383177469153e+00,2.253367297152963022e+00
1.850000000000000089e+00,5.195086455176968876e+00,3.776726355394174117e+00,3.144717694092121540e+00,2.149251883362882865e+00
1.900000000000000133e+00,4.942141558024147230e+00,3.570230604130316454e+00,2.849131438600027266e+00,1.849211153812889252e+00
1.950000000000000178e+00,4.752624011668035386e+00,3.378015762338153039e+00,2.746599289954930523e+00,1.664136659646672456e+00
2.000000000000000000e+00,3.925101611361846210e+00,2.777070000295485119e+00,2.137607539808447310e+00,1.326533296973707587e+00
2.050000000000000266e+00,3.902374110212181169e+00,2.713284363652010978e+00,2.108038359762200997e+00,1.298714343556405915e+00
2.100000000000000089e+00,3.806435633618138414e+00,2.893540071209672160e+00,1.953274945985247646e+00,1.395191318535419223e+00
2.149999999999999911e+00,3.797944102873422434e+00,3.103437496773057802e+00,1.916070768059453533e+00,1.579851141931910341e+00
2.200000000000000178e+00,3.316686540482737922e+00,3.232223846521617983e+00,1.563390623368190901e+00,1.243814084040032464e+00
2.250000000000000000e+00,3.240021127307422422e+00,3.440531831153738729e+00,1.436622449409491686e+00,1.316267325029388369e+00
2.300000000000000266e+00,3.360427727374824425e+00,3.615937604572449615e+00,1.323102654692906777e+00,1.413402263741811993e+00
2.350000000000000089e+00,3.482133046032392265e+00,3.781853414407416736e+00,1.296556556173935615e+00,1.471066263889984738e+00
2.400000000000000355e+00,3.575155952162901052e+00,3.842345629719820188e+00,1.597239940309263639e+00,1.868365461326524590e+00
2.450000000000000178e+00,3.674416676133859028e+00,3.757504321799803648e+00,1.598246344744101988e+00,1.778550003995579498e+00
2.500000000000000000e+00,3.827683865337745406e+00,3.694239675551155511e+00,1.720992288992506003e+00,1.698100066389192087e+00
2.550000000000000266e+00,3.832275774432045701e+00,3.682531632957125378e+00,1.744946626648473442e+00,1.642208573109285252e+00
2.600000000000000089e+00,3.620482364725517321e+00,4.072667712659986172e+00,1.683352289650360323e+00,1.983429603310346678e+00
2.650000000000000355e+00,3.598246196877863401e+00,4.234506051889086464e+00,1.671222068811027528e+00,2.019529182614581586e+00
2.700000000000000178e+00,3.584376185745377530e+00,4.244370541243570827e+00,1.890540445598111852e+00,2.091915209978838064e+00
2.750000000000000000e+00,3.561800649405643782e+00,4.150159563309789412e+00,2.059455107644842187e+00,2.193691460196485199e+00
2.800000000000000266e+00,3.825702643265950886e+00,3.659769334438558452e+00,2.078069314183327077e+00,1.778937537812334213e+00
2.850000000000000089e+00,3.734580230474310536e+00,3.602578664156395050e+00,2.095248170977902724e+00,1.850646240256115904e+00
2.900000000000000355e+00,3.635737102079122263e+00,3.525552764762580615e+00,2.049599279547793973e+00,1.920162170693834769e+00
2.950000000000000178e+00,3.455676099893393971e+00,3.443415051618352152e+00,2.084131880258375258e+00,2.063698501588849599e+00
3.000000000000000000e+00,4.417224339850138293e+00,3.404145353674610242e+00,2.637863754447223652e+00,1.924904809099887926e+00
3.050000000000000266e+00,4.325484812947813396e+00,3.327299573178619685e+00,2.588306137816243968e+00,1.851899492214454268e+00
3.100000000000000089e+00,4.236887126116230640e+00,3.317303624642945703e+00,2.500649313895864534e+00,1.810866851039108161e+00
3.150000000000000355e+00,4.124429543311046054e+00,3.388899739246350240e+00,2.400400547686693642e+00,1.822727973792770628e+00
3.200000000000000178e+00,4.096641437682776221e+00,2.801072669082318889e+00,2.274817282636484084e+00,1.555419873514570561e+00
3.250000000000000000e+00,3.783385810705921060e+00,2.734079259128926687e+00,2.053605614958474046e+00,1.465834570692748917e+00
3.300000000000000266e+00,3.470998735230909293e+00,2.734712282854482535e+00,2.004333122246799270e+00,1.732293327318983556e+00
