method,rmse,improvement_vs_enkf
EnKF,2.9863676827278045,0.0
EAKF,2.7377495918082357,8.325099831393711
EnKF+Transformer,1.712690073587194,42.64972516636697
EAKF+Transformer,1.4961799153950868,49.89967497811764
