t,rmse_enkf,rmse_eakf,rmse_enkf_tr,rmse_eakf_tr
0.000000000000000000e+00,9.031066498564185308e-01,9.031066498564185308e-01,1.122371520350527119e+00,1.169195075898792124e+00
5.000000000000000278e-02,8.768130030700015398e-01,8.768130030700015398e-01,9.690372150269493945e-01,1.086639628564197269e+00
1.000000000000000056e-01,1.000978050681871512e+00,1.000978050681871512e+00,9.519176072962685087e-01,1.122258184944725068e+00
1.500000000000000222e-01,1.063329959827634674e+00,1.063329959827634674e+00,8.746847748714874360e-01,1.076061381617164248e+00
2.000000000000000111e-01,7.821889331950944158e-01,7.890474811757997031e-01,6.692100695767780882e-01,7.660545102215782221e-01
2.500000000000000000e-01,8.419354717151946721e-01,8.149764145166997764e-01,6.089591768106065173e-01,7.619412346827865168e-01
3.000000000000000444e-01,1.022768362031637457e+00,9.961399194706972438e-01,7.285432944290569646e-01,9.520930551840811606e-01
3.500000000000000333e-01,1.265610865863299184e+00,1.219498775192397133e+00,9.542456705829802655e-01,1.085135245094974499e+00
4.000000000000000222e-01,1.233092350472489995e+00,1.696440569561331158e+00,1.160777345599399935e+00,1.275039004388824448e+00
4.500000000000000111e-01,1.139303987239393301e+00,1.727952009726302363e+00,1.075603163504063042e+00,1.257523078278284689e+00
5.000000000000000000e-01,1.092304220735608400e+00,1.815610576889302719e+00,1.009291741729854142e+00,1.337401753496608059e+00
5.500000000000000444e-01,1.020939637789107346e+00,1.835474947626941855e+00,9.567597432790697631e-01,1.436788201575677215e+00
6.000000000000000888e-01,1.114588662518765982e+00,1.711226444797448343e+00,9.427776524396553892e-01,1.133664493902788006e+00
6.500000000000000222e-01,1.270183989583840489e+00,1.848501255294713763e+00,1.028620744433509815e+00,1.217014613573695003e+00
7.000000000000000666e-01,1.400853630394368166e+00,2.005897712008554823e+00,1.252527659834176577e+00,1.489510496495784375e+00
7.500000000000000000e-01,1.452064174333440150e+00,2.087064950599814672e+00,1.449543568815477190e+00,1.710440155594676659e+00
8.000000000000000444e-01,7.610770965862108106e-01,1.303578437552125324e+00,1.297645106765211498e+00,1.370362112046179748e+00
8.500000000000000888e-01,7.692745442625136265e-01,1.360986038555935806e+00,1.239309404605753118e+00,1.531018406737148396e+00
9.000000000000000222e-01,8.579677447942287705e-01,1.519464022983325835e+00,1.253851614597567998e+00,1.667375315967560612e+00
9.500000000000000666e-01,9.854070259749886374e-01,1.732858118443207029e+00,1.332303058396159257e+00,1.761670191452494594e+00
1.000000000000000000e+00,9.049149415978288147e-01,1.911574349844629817e+00,1.473557608458567758e+00,1.475601777800934045e+00
1.050000000000000044e+00,9.836263221387488986e-01,1.993509782075945536e+00,1.353095736077849054e+00,1.592932331482723285e+00
1.100000000000000089e+00,1.078322186953569961e+00,2.053127683042472729e+00,1.273581139978101850e+00,1.918802988758024020e+00
1.150000000000000133e+00,1.094638372982148722e+00,2.027713914307178289e+00,1.282402216848228527e+00,2.244908340480496811e+00
1.200000000000000178e+00,7.066884411904260643e-01,1.767672806863401336e+00,1.864973706274726251e+00,1.509984100670909601e+00
1.250000000000000000e+00,6.902603843967135555e-01,1.875686363994262695e+00,1.782672832936420759e+00,1.433286995367801575e+00
1.300000000000000044e+00,7.632206336972755523e-01,2.070606229367960793e+00,1.699044715757785262e+00,1.405986614381268929e+00
1.350000000000000089e+00,8.553405198884838079e-01,2.322780271847156630e+00,1.555503547147917942e+00,1.584512905070323052e+00
1.400000000000000133e+00,7.240622918926896689e-01,1.727875687014168049e+00,1.819270573221484666e+00,1.928512742623238019e+00
1.450000000000000178e+00,7.959874097169081786e-01,1.746700266927172285e+00,1.741268675922300613e+00,1.968292345570131774e+00
1.500000000000000000e+00,8.000127663031318948e-01,1.844635615375126436e+00,1.631897137878409065e+00,1.978056313181451475e+00
1.550000000000000044e+00,8.729047108766746499e-01,2.020928846690444036e+00,1.513163084160285665e+00,2.066603508099298381e+00
1.600000000000000089e+00,1.145984554044715553e+00,1.827318172237588412e+00,1.539119972145497561e+00,1.489247907515772962e+00
1.650000000000000133e+00,1.223195707776334684e+00,1.869902744121904048e+00,1.298388232030161626e+00,1.472412086953994281e+00
1.700000000000000178e+00,1.357667214998585559e+00,1.842520704451076297e+00,1.179656137443249042e+00,1.399389915136189266e+00
1.750000000000000000e+00,1.469872336927663836e+00,1.804715572091342590e+00,1.232830657957672438e+00,1.395701985418675406e+00
1.800000000000000044e+00,1.425404946885334256e+00,1.718803387252517689e+00,1.213214884501684576e+00,1.248347187903461331e+00
1.850000000000000089e+00,1.406183444337464339e+00,1.654703225319190452e+00,1.233933213277104146e+00,1.415033258809380579e+00
1.900000000000000133e+00,1.431426350460180519e+00,1.625374909838884774e+00,1.354484366091680103e+00,1.611777513311689836e+00
1.950000000000000178e+00,1.441582274628455007e+00,1.639066845429081098e+00,1.473339822056301429e+00,1.645087409097027109e+00
2.000000000000000000e+00,1.227868452576720060e+00,1.214608063655878256e+00,1.616722705894690471e+00,1.727626924343721004e+00
2.050000000000000266e+00,1.263766939741213902e+00,1.213760026981003159e+00,1.616329625342181942e+00,1.572832810156141514e+00
2.100000000000000089e+00,1.254281396172753027e+00,1.251170516109590514e+00,1.576484797458103326e+00,1.476320898923222824e+00
2.149999999999999911e+00,1.309853031066022133e+00,1.293376442979089491e+00,1.719084669257397113e+00,1.501811793736431255e+00
2.200000000000000178e+00,1.181700983609532241e+00,1.399601433895541591e+00,1.455309201142041209e+00,9.605682543064436585e-01
2.250000000000000000e+00,1.184563090014516984e+00,1.393818876776939053e+00,1.539921459085567434e+00,1.083721582981835185e+00
2.300000000000000266e+00,1.208078949627382270e+00,1.458347631684065338e+00,1.578935787087305309e+00,1.233203048850640693e+00
2.350000000000000089e+00,1.294443301285287617e+00,1.600391015953684715e+00,1.528867326066917887e+00,1.421696796210318636e+00
2.400000000000000355e+00,1.048001664003454847e+00,1.751674428180938881e+00,1.211673323630691135e+00,1.698892989598726366e+00
2.450000000000000178e+00,9.636028398807399142e-01,1.685734161253905405e+00,1.440626212026825836e+00,1.718611295942474193e+00
2.500000000000000000e+00,9.783139621786270945e-01,1.680868098438040636e+00,1.506431849733213868e+00,1.661040048732553620e+00
2.550000000000000266e+00,9.537598103969021635e-01,1.704382965380750958e+00,1.526394549727972283e+00,1.558505248106381469e+00
2.600000000000000089e+00,1.210345191476349669e+00,1.249563350756943247e+00,1.413709173419877452e+00,1.620471084152297792e+00
2.650000000000000355e+00,1.309475097084515260e+00,1.257859064169747798e+00,1.285390493947332846e+00,1.624373394760788347e+00
2.700000000000000178e+00,1.366876792225113268e+00,1.256994323560730820e+00,1.308285764246151839e+00,1.766796828957447163e+00
