method,rmse,improvement_vs_enkf
EnKF,3.437434733930068,0.0
EAKF,2.8511686917741828,17.055335956461896
EnKF+Transformer,1.9172238568722904,44.22515610411892
EAKF+Transformer,1.6298349537811938,52.5857192954532
