t,rmse_enkf,rmse_eakf,rmse_enkf_tr,rmse_eakf_tr
0.000000000000000000e+00,8.914141394698321674e-01,8.914141394698321674e-01,9.252153793439723550e-01,9.344631002737759928e-01
5.000000000000000278e-02,9.644812720965714181e-01,9.644812720965714181e-01,1.009449108781434346e+00,9.538461995472542476e-01
1.000000000000000056e-01,1.065328584530565781e+00,1.065328584530565781e+00,1.092918265830132629e+00,9.824169751203831735e-01
1.500000000000000222e-01,1.209452759435237779e+00,1.209452759435237779e+00,1.169742466396350045e+00,1.044424795886512047e+00
2.000000000000000111e-01,9.036385890176829028e-01,9.043541756794419850e-01,9.023265371298101467e-01,7.819548581748525518e-01
2.500000000000000000e-01,9.786718204913321673e-01,9.757618029301643459e-01,9.344788660262338675e-01,8.070156661766384465e-01
3.000000000000000444e-01,1.052492152325184671e+00,1.017640905013432739e+00,9.289013737603813992e-01,8.890689556828861306e-01
3.500000000000000333e-01,1.181832695565957714e+00,1.135520262152128756e+00,1.024120547026447170e+00,1.046161314541673715e+00
4.000000000000000222e-01,1.181828619019827498e+00,1.092284423133565996e+00,9.911983803049448927e-01,9.296213701028581688e-01
4.500000000000000111e-01,1.336344757705818287e+00,1.218406894015676478e+00,1.019323500922505676e+00,9.293737861314335102e-01
5.000000000000000000e-01,1.517404476577257855e+00,1.392733524014279078e+00,1.019840029552958605e+00,9.952454781787531957e-01
5.500000000000000444e-01,1.762902639828727303e+00,1.649945301641155826e+00,1.075411909032436553e+00,1.140998585562732925e+00
6.000000000000000888e-01,1.775463985713043646e+00,1.618972391753436879e+00,8.637941687125739731e-01,9.927856896530374842e-01
6.500000000000000222e-01,1.894115364901657994e+00,1.733313766177496440e+00,8.148818612286408136e-01,8.347575177537369662e-01
7.000000000000000666e-01,1.992368784791144209e+00,1.948406882010115471e+00,8.567962438675262860e-01,8.678261922790577731e-01
7.500000000000000000e-01,2.046953492089567561e+00,2.135733304268930599e+00,9.610810797434332642e-01,1.025591741168845772e+00
8.000000000000000444e-01,1.850747126295007261e+00,2.140173219179882125e+00,8.705245891994378704e-01,1.340164697286669870e+00
8.500000000000000888e-01,1.911793991562401818e+00,2.141745166629612118e+00,7.844713276703136895e-01,1.223401778296797415e+00
9.000000000000000222e-01,2.004897448207318522e+00,2.167479461945194252e+00,8.165609401512919918e-01,1.140089511717554460e+00
9.500000000000000666e-01,2.188787703777612226e+00,2.239608285827181966e+00,9.923484814750875849e-01,1.170523571313474953e+00
1.000000000000000000e+00,2.354904857324981560e+00,2.202021763191782888e+00,1.274004254180678419e+00,1.389460718807696171e+00
1.050000000000000044e+00,2.460694844459168973e+00,2.240547300543898501e+00,1.301312041052961721e+00,1.315349837489257379e+00
1.100000000000000089e+00,2.602369427486581621e+00,2.281102386677607896e+00,1.425565481176353622e+00,1.210438663442145346e+00
1.150000000000000133e+00,2.708044722088688072e+00,2.451010166168429816e+00,1.558183848097099089e+00,1.248380524668069924e+00
1.200000000000000178e+00,2.257027687045786379e+00,2.462676662374454928e+00,1.504719735914347156e+00,1.179001598102411563e+00
1.250000000000000000e+00,2.205774605894702756e+00,2.498897507173247323e+00,1.433716089483577205e+00,1.147973070444972654e+00
1.300000000000000044e+00,2.240031420234270598e+00,2.564774701239073362e+00,1.340066771132870871e+00,1.135511183698366455e+00
1.350000000000000089e+00,2.232265092388950212e+00,2.641329376903625903e+00,1.211211017600333228e+00,1.224596349555627350e+00
1.400000000000000133e+00,2.059195436917257371e+00,2.530424866003984530e+00,1.092921236058039591e+00,1.241156798425561814e+00
1.450000000000000178e+00,2.047086448378614865e+00,2.492673774185393043e+00,9.850925029718584636e-01,1.204716035414423958e+00
1.500000000000000000e+00,2.126018884823769106e+00,2.501566076084539070e+00,1.086940627598822040e+00,1.197670146113173573e+00
1.550000000000000044e+00,2.288386010751656929e+00,2.565976482689626970e+00,1.364395490901155972e+00,1.356981792119080321e+00
1.600000000000000089e+00,2.177707389390833193e+00,2.191428406728810785e+00,1.551346601330675590e+00,1.217375273658715340e+00
1.650000000000000133e+00,2.275100549317638166e+00,2.275658027491969992e+00,1.438706466530201622e+00,1.326821316346519009e+00
1.700000000000000178e+00,2.481579451317842189e+00,2.380923048845227985e+00,1.580388595081516190e+00,1.486914884102687351e+00
1.750000000000000000e+00,2.755762238372439388e+00,2.467319384820504613e+00,1.898559051219103067e+00,1.634031254996318738e+00
1.800000000000000044e+00,2.476656272155267846e+00,2.008021486536868405e+00,2.132648495782551112e+00,1.231803703425018437e+00
1.850000000000000089e+00,2.502331161917996649e+00,2.213121563150196813e+00,2.167113880084517330e+00,1.254369365836940808e+00
1.900000000000000133e+00,2.515902133986156919e+00,2.359750751458289386e+00,2.067545457747490545e+00,1.186022074689698114e+00
1.950000000000000178e+00,2.566452092090546699e+00,2.536904789323076947e+00,1.835667738618933065e+00,1.148371257445953031e+00
2.000000000000000000e+00,2.562673927822122888e+00,2.422380292073061714e+00,1.240644092607251281e+00,9.602120244334105825e-01
2.050000000000000266e+00,2.599173369576628367e+00,2.506098640713549042e+00,1.190511168956844612e+00,1.035636442180541295e+00
2.100000000000000089e+00,2.715276303441246153e+00,2.556881536178991610e+00,1.214199205790514213e+00,1.142827895412870998e+00
2.149999999999999911e+00,2.867653655292044856e+00,2.645106642906788874e+00,1.246283048890292067e+00,1.253634888400384284e+00
2.200000000000000178e+00,2.919931499432697919e+00,2.579268743103657169e+00,1.109620395993632824e+00,1.223359557378332907e+00
2.250000000000000000e+00,3.027462812385554258e+00,2.600902989019398870e+00,1.073042793521661320e+00,1.063623975933874588e+00
2.300000000000000266e+00,3.156105986480002734e+00,2.670328391456652461e+00,1.082925021154261813e+00,1.023264998379322943e+00
2.350000000000000089e+00,3.338003279092986109e+00,2.838454775784263084e+00,1.269636418449359150e+00,1.059873062150824552e+00
2.400000000000000355e+00,3.203096945002728457e+00,2.835250991296816014e+00,1.087269181469137758e+00,1.252217955295860774e+00
2.450000000000000178e+00,3.331656740386984339e+00,2.976703073085494644e+00,1.132444050215150044e+00,1.135920518832883586e+00
2.500000000000000000e+00,3.484134761786045864e+00,3.099503834101982491e+00,1.243021129623685272e+00,1.139365585946537252e+00
2.550000000000000266e+00,3.529670022781868255e+00,3.186946342423096823e+00,1.257937990525457295e+00,1.224772810634011888e+00
2.600000000000000089e+00,3.370174821018576683e+00,3.519486746062776561e+00,1.361792090728256799e+00,1.599118941945010475e+00
2.650000000000000355e+00,3.326948235664641373e+00,3.451663213167353028e+00,1.334237981748319424e+00,1.600848140148941612e+00
2.700000000000000178e+00,3.295397341247609635e+00,3.367494005397134504e+00,1.304872538970433649e+00,1.510642060864386904e+00
2.750000000000000000e+00,3.251462635986634098e+00,3.280248047048690108e+00,1.348654750516587120e+00,1.435443041531586861e+00
2.800000000000000266e+00,3.126264693445032883e+00,3.031351579651873962e+00,1.080467800820877677e+00,1.263650961927463845e+00
2.850000000000000089e+00,3.061009592990689754e+00,2.875245629313854412e+00,1.065428068418855068e+00,1.195216883032312216e+00
2.900000000000000355e+00,3.014457135335302240e+00,2.788949711927559250e+00,1.192773266822131806e+00,1.278856049638557701e+00
2.950000000000000178e+00,3.041748241797017638e+00,2.815233835517391370e+00,1.452732515771399058e+00,1.498951793978331448e+00
3.000000000000000000e+00,2.799298540771419930e+00,2.743174846694143021e+00,1.193869307294325610e+00,1.034851712500163279e+00
3.050000000000000266e+00,2.872895287858920899e+00,2.890823089611863406e+00,1.207110539732307863e+00,1.024123595557273614e+00
3.100000000000000089e+00,2.977980794296833267e+00,2.984955374031211583e+00,1.231123090785648078e+00,1.190935315447267051e+00
3.150000000000000355e+00,3.056357924189701425e+00,3.046188245783459703e+00,1.233289104284957416e+00,1.475597996373516407e+00
3.200000000000000178e+00,2.966358950334894384e+00,2.683932484840428234e+00,1.194425092801201238e+00,1.479745586278476965e+00
3.250000000000000000e+00,3.072061406254729565e+00,2.711721180341258197e+00,1.201817862581954222e+00,1.485335109276828991e+00
3.300000000000000266e+00,3.196616665846877758e+00,2.809560197779622293e+00,1.418420593473674662e+00,1.545473054500105636e+00
3.350000000000000089e+00,3.310018800337129363e+00,2.886777130239953415e+00,1.608361181525644001e+00,1.727097085214913008e+00
3.400000000000000355e+00,2.766385545364509202e+00,2.592497264276065305e+00,1.502262651354894896e+00,1.812969569703152706e+00
3.450000000000000178e+00,2.965164010247785864e+00,2.903434436738425717e+00,1.586881816165088610e+00,1.766443959813235542e+00
3.500000000000000000e+00,3.190943565090273992e+00,3.197440750494414896e+00,1.726125291691580799e+00,1.807931764664136853e+00
3.550000000000000266e+00,3.405345234319486991e+00,3.424111733469862529e+00,1.907278662202289476e+00,1.939733524771369622e+00
3.600000000000000089e+00,3.791819511454810776e+00,3.626589110752449052e+00,1.895757865888474170e+00,2.203712302909796694e+00
3.650000000000000355e+00,3.702467935190511650e+00,3.509689403424756549e+00,1.758119391373251572e+00,1.803187346791460310e+00
3.700000000000000178e+00,3.588249121936138764e+00,3.488646004061097372e+00,1.672043857420570045e+00,1.537514309423060999e+00
3.750000000000000000e+00,3.573525742184825660e+00,3.514353587123368872e+00,1.675400046533527698e+00,1.471013872789528332e+00
3.800000000000000266e+00,3.582820226913677963e+00,3.464841089969585397e+00,1.832792421512694947e+00,1.626509145183839822e+00
3.850000000000000089e+00,3.549299943064847973e+00,3.400954174703176847e+00,1.609078423917796430e+00,1.418198260945911615e+00
3.900000000000000355e+00,3.517757151335156873e+00,3.276237084881417072e+00,1.721904135156521631e+00,1.404080012558337476e+00
3.950000000000000178e+00,3.531750447782113778e+00,3.198522124138717615e+00,2.193470226382468802e+00,1.534184157728238462e+00
4.000000000000000000e+00,3.469029715953264148e+00,2.806511276781534114e+00,1.994565792352511080e+00,1.410914054931934558e+00
4.049999999999999822e+00,3.397422575290242719e+00,2.900430991800126534e+00,1.905755087818765459e+00,1.381683407968151256e+00
4.100000000000000533e+00,3.569128540352133783e+00,3.161216716803348703e+00,2.169712764596804622e+00,1.464570800686685104e+00
4.150000000000000355e+00,3.799391813564669818e+00,3.465317922087496338e+00,2.431995139406294637e+00,1.715228845587848605e+00
4.200000000000000178e+00,2.935352442868046641e+00,3.192355200026523843e+00,1.628160348664652757e+00,1.543492258551051322e+00
4.250000000000000000e+00,3.055230358491252574e+00,3.391210506274984660e+00,1.603692960958974512e+00,1.627356459595961313e+00
4.299999999999999822e+00,3.048160378741656462e+00,3.457597263743408256e+00,1.538063329060919804e+00,1.645105303375353767e+00
4.350000000000000533e+00,2.980714785428371538e+00,3.389560760679529050e+00,1.479995378468763834e+00,1.581530191220178239e+00
4.400000000000000355e+00,2.678375442860426503e+00,3.204168767128900086e+00,1.355283663599198940e+00,1.511296228402669639e+00
4.450000000000000178e+00,2.575376547235876057e+00,3.151789097263523409e+00,1.224488841853033305e+00,1.390865487871735695e+00
4.500000000000000000e+00,2.515686979096946274e+00,3.112589360936005356e+00,1.139033508491859914e+00,1.342545266882879007e+00
4.549999999999999822e+00,2.580762005523394631e+00,3.033401383649823480e+00,1.105095911689171650e+00,1.347092656985797277e+00
4.600000000000000533e+00,2.941282941908142767e+00,3.015192692106396954e+00,1.547229181732282965e+00,1.642149728248631702e+00
4.650000000000000355e+00,3.104773111073968472e+00,3.042240849434373118e+00,1.628265829278739529e+00,1.677008162482420017e+00
4.700000000000000178e+00,3.179359670163690144e+00,3.060793409986973135e+00,1.712066304424467278e+00,1.647060493124185454e+00
4.750000000000000000e+00,3.267097263455853273e+00,3.053781241457570683e+00,1.905283733707338500e+00,1.681323168478799257e+00
4.800000000000000711e+00,2.791485824752442113e+00,2.812088376820201407e+00,1.386926157128059334e+00,1.353519215173230039e+00
4.850000000000000533e+00,2.911384538504646624e+00,2.808177380020868252e+00,1.350678143477338278e+00,1.314859735551314079e+00
4.900000000000000355e+00,3.086768345664022473e+00,2.901621202542570277e+00,1.421546519803251085e+00,1.388569943097997417e+00
4.950000000000000178e+00,3.243488152128145785e+00,3.082154748069376726e+00,1.636902127004286500e+00,1.617630887187272659e+00
5.000000000000000000e+00,2.655359304285208388e+00,2.997290623513487073e+00,1.243637474246417129e+00,1.495957447129729223e+00
