t,rmse_enkf,rmse_eakf,rmse_enkf_tr,rmse_eakf_tr
0.000000000000000000e+00,1.192242353926067144e+00,1.192242353926067144e+00,1.348051852744199142e+00,1.129978183307094763e+00
5.000000000000000278e-02,1.309938041625677840e+00,1.309938041625677840e+00,1.408181325301741449e+00,1.114184315279729054e+00
1.000000000000000056e-01,1.600526449071366430e+00,1.600526449071366430e+00,1.497881632095874771e+00,1.224622766233059989e+00
1.500000000000000222e-01,1.866951736761554903e+00,1.866951736761554903e+00,1.531446114928693536e+00,1.337615415891659554e+00
2.000000000000000111e-01,1.590243101391326963e+00,1.583973913519448828e+00,1.297348443812218699e+00,1.128227786377156372e+00
2.500000000000000000e-01,1.578975629805736025e+00,1.565549118434077291e+00,1.187732736562766345e+00,9.783006450860363135e-01
3.000000000000000444e-01,1.647116115884819099e+00,1.640614903930496027e+00,1.203264124898430154e+00,1.051518800538718157e+00
3.500000000000000333e-01,1.805415998503137054e+00,1.782862328704085453e+00,1.377000288407647322e+00,1.281838686849421149e+00
4.000000000000000222e-01,1.853853322502901468e+00,1.784526470626947026e+00,1.344026041770014279e+00,1.327280721752335246e+00
4.500000000000000111e-01,1.681655695286502494e+00,1.680563678603251399e+00,1.367776445728074775e+00,1.314955385879992056e+00
5.000000000000000000e-01,1.555969734222211631e+00,1.568062569059770706e+00,1.437039955455896578e+00,1.309027375263066117e+00
5.500000000000000444e-01,1.533644591832836745e+00,1.584257595361905802e+00,1.468212353519515068e+00,1.407245870183723824e+00
6.000000000000000888e-01,1.993413055876032347e+00,1.794471720132287729e+00,2.162968888749367657e+00,1.582298435892734778e+00
6.500000000000000222e-01,1.921591007762320613e+00,2.041648894881667786e+00,2.013631183763762156e+00,1.796011335223458572e+00
7.000000000000000666e-01,1.936240023612968653e+00,2.313495469240399505e+00,2.041690199894548918e+00,2.097409577912412448e+00
7.500000000000000000e-01,2.049056839132900709e+00,2.616602902517167095e+00,2.169567610371970545e+00,2.338399539043969355e+00
8.000000000000000444e-01,2.360069742727065822e+00,2.135509595208627154e+00,1.548287002737100515e+00,1.828777017630949242e+00
8.500000000000000888e-01,2.590484980480615373e+00,2.087166781650498848e+00,1.756093552353479748e+00,1.620486445185704394e+00
9.000000000000000222e-01,2.730501862669044488e+00,2.029683875658695236e+00,1.873087199857258689e+00,1.337879077473110412e+00
9.500000000000000666e-01,2.778546611257121768e+00,2.153617236744428176e+00,1.876232741409687543e+00,1.288977471989237733e+00
1.000000000000000000e+00,1.850514079784076449e+00,1.651415257728650277e+00,1.204945392284795469e+00,1.115365688573113134e+00
1.050000000000000044e+00,1.967509328135650160e+00,1.809553816248095304e+00,1.267625750620141600e+00,1.237714148561364746e+00
1.100000000000000089e+00,2.148820255214419994e+00,2.106845392093844360e+00,1.475001157770894800e+00,1.353479031082812201e+00
1.150000000000000133e+00,2.336178687437881152e+00,2.319776528559575279e+00,1.673886370960799619e+00,1.476778589930664021e+00
1.200000000000000178e+00,2.125104504004291961e+00,2.607861471235406903e+00,1.974407634845304127e+00,2.159902221798117861e+00
1.250000000000000000e+00,2.031818937598872665e+00,2.766632814121584794e+00,2.057724825551010994e+00,2.308067060529503500e+00
1.300000000000000044e+00,2.057751014300141623e+00,3.020350034156457308e+00,2.020857059428725400e+00,2.471348899662631826e+00
1.350000000000000089e+00,2.141626852470407627e+00,3.186292949128471719e+00,2.017869656142240231e+00,2.605059700969618142e+00
1.400000000000000133e+00,2.210647992282926300e+00,2.709805101995115706e+00,2.148515842480852367e+00,2.525918822291441490e+00
1.450000000000000178e+00,2.206266841992000405e+00,2.657441936334224319e+00,1.902912349999738684e+00,2.585746211370357095e+00
1.500000000000000000e+00,2.293628862742103536e+00,2.564110259471683140e+00,1.679757355678427988e+00,2.339807610082073719e+00
1.550000000000000044e+00,2.329564355669398790e+00,2.527096245699600896e+00,1.621650767497970325e+00,1.939262743762110830e+00
1.600000000000000089e+00,1.917168521952628657e+00,2.707818144347584610e+00,1.593528823903140434e+00,2.201758988362746639e+00
1.650000000000000133e+00,1.989129593501037352e+00,2.780397050374347589e+00,1.605385617475922899e+00,2.272479857152011729e+00
1.700000000000000178e+00,2.093887450816531715e+00,2.832772501921645869e+00,1.540563044358608691e+00,2.389955694980453682e+00
1.750000000000000000e+00,2.182292198936271799e+00,2.825841887313489842e+00,1.561349618406036699e+00,2.470944589252356050e+00
1.800000000000000044e+00,1.600523651205102649e+00,3.218916535928308509e+00,1.411727013342714221e+00,2.385256314250873366e+00
1.850000000000000089e+00,1.586358454459612766e+00,3.175072981008161488e+00,1.273149418901036611e+00,2.595017236045416453e+00
1.900000000000000133e+00,1.668085442363794302e+00,3.170847312922122629e+00,1.159844871510416819e+00,2.557610207017889437e+00
1.950000000000000178e+00,1.798962258704499551e+00,3.307288255877616212e+00,1.412894715129580758e+00,2.568180721178117132e+00
2.000000000000000000e+00,1.772094407454513076e+00,4.797368801561217033e+00,2.069445569506717764e+00,4.178195597692467622e+00
2.050000000000000266e+00,1.817632309142521718e+00,4.462876089343792430e+00,1.872527863137139592e+00,3.908599351324364868e+00
2.100000000000000089e+00,1.841973926857102262e+00,4.018044574418355275e+00,1.681828328678303786e+00,3.561594974253147861e+00
2.149999999999999911e+00,1.962329412669589601e+00,3.642863439544212323e+00,1.807918525860275905e+00,3.237836164302828834e+00
2.200000000000000178e+00,2.212248114070678451e+00,3.518638914005197460e+00,1.942151404318313679e+00,2.854609283206145598e+00
2.250000000000000000e+00,2.161351068865551284e+00,3.429421410531543479e+00,2.125111651996655304e+00,2.859809723505234658e+00
2.300000000000000266e+00,2.174661901735310821e+00,3.396457107729020208e+00,2.276950302837970064e+00,2.829318781058249854e+00
2.350000000000000089e+00,2.246315466518891135e+00,3.506122150118466063e+00,2.269430886287050697e+00,2.885905901436573107e+00
2.400000000000000355e+00,2.371073094235851997e+00,3.493833275704615549e+00,2.270228187748529525e+00,2.871317049455645254e+00
2.450000000000000178e+00,2.525441035340603602e+00,3.564085893671676164e+00,2.373384040193902589e+00,2.798855555590039401e+00
2.500000000000000000e+00,2.616777386039118358e+00,3.710906475019791984e+00,2.451906314857386082e+00,2.912529272274010150e+00
2.550000000000000266e+00,2.629846462206956836e+00,3.827223869119511512e+00,2.479583273584007319e+00,3.161311377943063050e+00
2.600000000000000089e+00,3.135248414185017651e+00,3.309655024709710514e+00,2.735472105528484743e+00,2.359748124556170890e+00
2.650000000000000355e+00,3.133438901724144632e+00,3.277203754710599881e+00,2.931162615415530137e+00,2.443394111163019744e+00
2.700000000000000178e+00,3.117422913330460954e+00,3.252764335065961188e+00,2.971623864471526488e+00,2.568483228307370858e+00
2.750000000000000000e+00,3.047873142901232235e+00,3.212048610397578052e+00,2.954610541412461711e+00,2.704343257149656399e+00
2.800000000000000266e+00,3.110428776702339082e+00,3.165692593064163507e+00,2.745721932977868818e+00,3.045691930247098611e+00
2.850000000000000089e+00,3.070270551700096551e+00,3.100818449040231073e+00,2.755816262950518070e+00,2.975428105673984636e+00
2.900000000000000355e+00,3.068973745425572552e+00,2.998340603103474944e+00,2.720354991995200589e+00,2.745836941175960444e+00
2.950000000000000178e+00,3.157918885213685023e+00,2.743843809920373467e+00,2.625076773615533376e+00,2.360096084551668749e+00
3.000000000000000000e+00,2.846942628005309395e+00,3.514781742553362953e+00,2.278972457552921771e+00,2.756595528137591788e+00
3.050000000000000266e+00,2.955719960887607023e+00,3.371450992421598070e+00,2.479576725307013341e+00,2.603772609273613536e+00
3.100000000000000089e+00,3.070786860646005589e+00,3.244683283731269352e+00,2.594659194352335607e+00,2.385393727372595585e+00
3.150000000000000355e+00,3.139764730057980735e+00,3.119362672927776803e+00,2.563649218581995015e+00,2.160668099680400189e+00
3.200000000000000178e+00,3.548920442410058662e+00,2.735736581842631132e+00,2.994484719008145834e+00,1.986392190365754873e+00
3.250000000000000000e+00,3.586773118001634675e+00,2.811642510749209567e+00,3.140586339583099296e+00,2.139618873144231603e+00
3.300000000000000266e+00,3.742272869812960590e+00,2.961493745591623927e+00,3.194736789335788085e+00,2.226129635763855585e+00
3.350000000000000089e+00,3.767332764394216049e+00,3.060656252622084406e+00,2.990810866394662870e+00,2.208958890420586574e+00
3.400000000000000355e+00,4.012723858428704382e+00,2.093923933187806341e+00,2.761473446975744039e+00,1.644590871625707162e+00
3.450000000000000178e+00,4.388612368117566831e+00,2.176030445508129851e+00,2.952876094526063699e+00,1.411739435664021824e+00
3.500000000000000000e+00,4.506668325933002706e+00,2.361073572521573016e+00,3.163238859486970700e+00,1.371130872289921365e+00
3.550000000000000266e+00,4.379485843391107025e+00,2.544169474658968255e+00,3.247422861095994762e+00,1.438204128112108959e+00
