method,rmse,improvement_vs_enkf
EnKF,3.6059714165468306,0.0
EAKF,3.175357658668137,11.941685280774086
EnKF+Transformer,2.135220499962684,40.7865384022532
EAKF+Transformer,1.8736162535057712,48.04128937605408
