method,rmse,improvement_vs_enkf
EnKF,2.9486773984407595,0.0
EAKF,2.6028200510131896,11.729236559091099
EnKF+Transformer,1.7627454339905189,40.21911535922354
EAKF+Transformer,1.5644857416917612,46.942797387091225
