t,rmse_enkf,rmse_eakf,rmse_enkf_tr,rmse_eakf_tr
0.000000000000000000e+00,8.986123015501149558e-01,8.986123015501149558e-01,9.007568496653239887e-01,9.879599304785686709e-01
5.000000000000000278e-02,9.476875100540638197e-01,9.476875100540638197e-01,9.351902826080293885e-01,9.737100144124688494e-01
1.000000000000000056e-01,1.121784050452742987e+00,1.121784050452742987e+00,1.038349416126215008e+00,1.034377921641563614e+00
1.500000000000000222e-01,1.244040609856801982e+00,1.244040609856801982e+00,9.833716805171055508e-01,1.007867013572864234e+00
2.000000000000000111e-01,1.094165310854254614e+00,1.093709260742394163e+00,9.880049691512456933e-01,9.202260551416651113e-01
2.500000000000000000e-01,1.143184611014441909e+00,1.153194544820868472e+00,1.029988076591654034e+00,9.105439482088393266e-01
3.000000000000000444e-01,1.128433796977157622e+00,1.217282874667550141e+00,1.026097062584777841e+00,9.391399140105175514e-01
3.500000000000000333e-01,1.169865280279555719e+00,1.276582137117132643e+00,1.052070661810605268e+00,9.762837642754955692e-01
4.000000000000000222e-01,1.086982341532352292e+00,1.364639846899032394e+00,9.908139610104378381e-01,9.646925395352514698e-01
4.500000000000000111e-01,1.168274590623658016e+00,1.362276760048011681e+00,9.592285406292405670e-01,8.806503259554447904e-01
5.000000000000000000e-01,1.330339851427977838e+00,1.455325532401156030e+00,9.353044542072510570e-01,8.623297654557207093e-01
5.500000000000000444e-01,1.613317310958885420e+00,1.672155530697210679e+00,9.825137614914801754e-01,8.877022879819371770e-01
6.000000000000000888e-01,1.478385133878075575e+00,1.619868922951128054e+00,8.961087239163880724e-01,7.577091775966064979e-01
6.500000000000000222e-01,1.547955313179226078e+00,1.618388894112585685e+00,7.443629956046505791e-01,7.222584863264918109e-01
7.000000000000000666e-01,1.715271099392037257e+00,1.696329342413724683e+00,7.521294460691666517e-01,7.633570734983698980e-01
7.500000000000000000e-01,1.906887359828203898e+00,1.764370527421020629e+00,8.904720320786947418e-01,9.244836647532840290e-01
8.000000000000000444e-01,1.791975492636560752e+00,1.975398560007868287e+00,1.034403219619337566e+00,8.646604795490246964e-01
8.500000000000000888e-01,1.816267940540369219e+00,2.063824061134344579e+00,9.292508389271371128e-01,8.702945562416295466e-01
9.000000000000000222e-01,1.989992450631184129e+00,2.260319590901141318e+00,1.122117509456100004e+00,9.651541114737407501e-01
9.500000000000000666e-01,2.257889068240007013e+00,2.430848330414013159e+00,1.600105060868807882e+00,1.175424129031379161e+00
1.000000000000000000e+00,2.196435321235589821e+00,2.601108793412093334e+00,9.449776180464979358e-01,1.382460095093018149e+00
1.050000000000000044e+00,2.323819062472561203e+00,2.612880470593616611e+00,9.443299750174369844e-01,1.423991816167879509e+00
1.100000000000000089e+00,2.517336318067346923e+00,2.542533433106068941e+00,1.187295838744735654e+00,1.285828157668438942e+00
1.150000000000000133e+00,2.741716293830346984e+00,2.458708269591250772e+00,1.585980311542567911e+00,1.227184187864778009e+00
1.200000000000000178e+00,2.368450610797436795e+00,2.618758734690048495e+00,1.014845747433154477e+00,1.451215047997393315e+00
1.250000000000000000e+00,2.472282623219908437e+00,2.463291480092570485e+00,1.086416451747538092e+00,1.237476829023326008e+00
1.300000000000000044e+00,2.575981343981734284e+00,2.436158941613518092e+00,1.204848392869499518e+00,1.312966829607259633e+00
1.350000000000000089e+00,2.754700196288876413e+00,2.544267825037304753e+00,1.501229811895329114e+00,1.598847406702284868e+00
1.400000000000000133e+00,2.614145155720721370e+00,2.076695212234468180e+00,1.184828594139614166e+00,1.177445780820676413e+00
1.450000000000000178e+00,2.572074253585470593e+00,1.970574535886895573e+00,1.134641615485178390e+00,1.042936765583910130e+00
1.500000000000000000e+00,2.608296904224483015e+00,1.969470621829185086e+00,1.193141583753209334e+00,1.046194487035882803e+00
1.550000000000000044e+00,2.621929155556723234e+00,2.062363891811771044e+00,1.386464370541176550e+00,1.078310139191971828e+00
1.600000000000000089e+00,2.600385876497537829e+00,2.094260188134980716e+00,1.889235261572246527e+00,1.326595555541132399e+00
1.650000000000000133e+00,2.574173994893132811e+00,2.196307113042493597e+00,1.892635324987387513e+00,1.302838740647852100e+00
1.700000000000000178e+00,2.531155461438978183e+00,2.233547953808214803e+00,1.847000069758186314e+00,1.242033219263344979e+00
1.750000000000000000e+00,2.546363652079914441e+00,2.350404320364217092e+00,1.699745840293608756e+00,1.374954636029867228e+00
1.800000000000000044e+00,2.644694813597696648e+00,2.243895407051988311e+00,1.595608405569382215e+00,1.484110896351238829e+00
1.850000000000000089e+00,2.824348051648884805e+00,2.336060309968539528e+00,1.687792931389433759e+00,1.505028639390848744e+00
1.900000000000000133e+00,2.907162958838985567e+00,2.410003317337169104e+00,1.605053372589752225e+00,1.559585151069490694e+00
1.950000000000000178e+00,2.989493107293298646e+00,2.444204558570623576e+00,1.576761356788455970e+00,1.607592221991885673e+00
2.000000000000000000e+00,3.150361701253004743e+00,2.558713956578253956e+00,1.676792030182081339e+00,1.309824724197226509e+00
2.050000000000000266e+00,3.200029787525856761e+00,2.605867226075468501e+00,1.567066551155452458e+00,1.322879314142195506e+00
2.100000000000000089e+00,3.185081384143930716e+00,2.775577220398737666e+00,1.478956064144187454e+00,1.454828349113076680e+00
2.149999999999999911e+00,3.212431303301494623e+00,2.861671940884450205e+00,1.451149700364610773e+00,1.466174401693107532e+00
2.200000000000000178e+00,3.570307865713707063e+00,2.433783799484410704e+00,1.415241277455799418e+00,1.013437447649711665e+00
2.250000000000000000e+00,3.674658312269746041e+00,2.476571906757463637e+00,1.450725150520132400e+00,1.005970472730097987e+00
2.300000000000000266e+00,3.819309003569488326e+00,2.484715923508312940e+00,1.690819645687895889e+00,1.087422376485894571e+00
2.350000000000000089e+00,3.910507819708131105e+00,2.554279411408258760e+00,2.026148380851796826e+00,1.286814083759272087e+00
2.400000000000000355e+00,4.569429351044378862e+00,2.344262121781225172e+00,2.514789365038316848e+00,1.307921070913535821e+00
2.450000000000000178e+00,4.648348539709672878e+00,2.377869867842556051e+00,2.503725131709679363e+00,1.418192008978259588e+00
2.500000000000000000e+00,4.740128069335421301e+00,2.387458304482010796e+00,2.506611403955116391e+00,1.419443782099369056e+00
2.550000000000000266e+00,4.716296311814061504e+00,2.458796020661854875e+00,2.436068345987023154e+00,1.457289389506749577e+00
2.600000000000000089e+00,5.336827235922639190e+00,2.675939571292586638e+00,3.108873443365161471e+00,1.436020804163021802e+00
