method,rmse,improvement_vs_enkf
EnKF,2.9908646891820396,0.0
EAKF,2.949867445275004,1.370748869225762
EnKF+Transformer,2.7536387242131304,7.931684968128307
EAKF+Transformer,2.5063463311096736,16.199942438882953
