method,rmse,improvement_vs_enkf
EnKF,3.4176743516535257,0.0
EAKF,2.6271332472596867,23.13096635468978
EnKF+Transformer,2.090593052991984,38.82995166053427
EAKF+Transformer,1.5433191962616712,54.84300031350299
