method,rmse,improvement_vs_enkf
EnKF,2.530423363594549,0.0
EAKF,2.486220470455181,1.7468576118652508
EnKF+Transformer,1.2313162637301827,51.33951569349021
EAKF+Transformer,1.151238303423207,54.50412290740806
