method,rmse,improvement_vs_enkf
EnKF,2.658111491810182,0.0
EAKF,2.603468546021854,2.0557055622642806
EnKF+Transformer,1.3699989476193575,48.45968832231397
EAKF+Transformer,1.3201238875905095,50.33602271169215
