method,rmse,improvement_vs_enkf
EnKF,2.992324085576908,0.0
EAKF,2.95809597246578,1.143863837346653
EnKF+Transformer,1.769589064288315,40.86238610256866
EAKF+Transformer,1.879006788873806,37.20577266577925
