method,rmse,improvement_vs_enkf
EnKF,3.3462829667317986,0.0
EAKF,3.0352427824362214,9.295095106656795
EnKF+Transformer,2.029675952864166,39.34535802731346
EAKF+Transformer,1.7526611912427625,47.62364065838319
