t,rmse_enkf,rmse_eakf,rmse_enkf_tr,rmse_eakf_tr
0.000000000000000000e+00,8.770761346705696626e-01,8.770761346705696626e-01,8.535379585316290596e-01,8.664970651332593032e-01
5.000000000000000278e-02,9.508066332213954697e-01,9.508066332213954697e-01,9.509576792782645782e-01,9.544522863435781490e-01
1.000000000000000056e-01,1.050193269250990769e+00,1.050193269250990769e+00,9.999295658718460045e-01,1.026288131167059969e+00
1.500000000000000222e-01,1.188750498926807397e+00,1.188750498926807397e+00,1.028997650278925091e+00,1.092180574078858379e+00
2.000000000000000111e-01,1.048451165584287859e+00,1.049894640832002457e+00,9.162726511395782314e-01,9.665663009098013347e-01
2.500000000000000000e-01,1.120192375670266749e+00,1.131826560641607582e+00,8.736287536145006527e-01,9.667662431947405821e-01
3.000000000000000444e-01,1.176703886364806939e+00,1.161039306778623326e+00,8.707581829803008322e-01,9.369007401709203986e-01
3.500000000000000333e-01,1.260249224071366525e+00,1.260552769689688324e+00,9.207101221259679225e-01,9.854200630315727016e-01
4.000000000000000222e-01,1.146426355896863702e+00,1.128153513781320338e+00,1.000719718984627971e+00,7.254168241391283356e-01
4.500000000000000111e-01,1.189302764462648820e+00,1.186138783939358010e+00,9.485109269267331111e-01,7.066849423444971912e-01
5.000000000000000000e-01,1.312748210802640703e+00,1.267930617356832101e+00,8.581467851363093757e-01,7.334142374148963084e-01
5.500000000000000444e-01,1.559286016778200112e+00,1.497534990658388354e+00,8.812654684191134624e-01,8.688285083990412438e-01
6.000000000000000888e-01,1.271829411580235991e+00,1.602004666620489681e+00,6.450331399224096263e-01,9.084575367171878746e-01
6.500000000000000222e-01,1.371647246812784271e+00,1.763372646394218091e+00,6.263720040289918467e-01,8.845281874608701411e-01
7.000000000000000666e-01,1.516131978080796694e+00,2.008437244245321551e+00,6.615390068789176459e-01,9.980198384334165729e-01
7.500000000000000000e-01,1.700007317241922333e+00,2.225533860322617130e+00,7.529283644710216272e-01,1.209891502362178128e+00
8.000000000000000444e-01,1.760912478499508937e+00,1.666244591243354112e+00,8.890721890973245500e-01,9.054911604943093328e-01
8.500000000000000888e-01,1.904241548838711218e+00,1.784549083037054507e+00,8.578977743507328890e-01,8.848349221986133717e-01
9.000000000000000222e-01,2.065451202594276836e+00,1.926586573729066609e+00,9.918427642970493174e-01,8.818775029316517911e-01
9.500000000000000666e-01,2.234514235185470987e+00,2.051402261594003740e+00,1.195920416141296183e+00,9.450591209351844046e-01
1.000000000000000000e+00,1.934062868256233303e+00,2.370759037533100244e+00,1.149272053738566335e+00,1.450515889155961968e+00
1.050000000000000044e+00,1.928346544173902943e+00,2.487852590033051037e+00,1.051142628621871467e+00,1.434186220326269634e+00
1.100000000000000089e+00,2.066812149563628687e+00,2.560491684331742235e+00,9.235896992638173986e-01,1.398305947367354918e+00
1.150000000000000133e+00,2.307571625089433809e+00,2.674401165615250875e+00,9.011663817443947844e-01,1.465733968265999332e+00
1.200000000000000178e+00,2.310113204031660761e+00,2.536175332899659018e+00,1.074495967952898479e+00,1.144313999051977060e+00
1.250000000000000000e+00,2.456256055144149020e+00,2.603251720308890960e+00,1.043093385250776439e+00,1.059877611632617844e+00
1.300000000000000044e+00,2.609997947562305409e+00,2.715774527383957970e+00,1.065023328586834239e+00,1.143190551794517340e+00
1.350000000000000089e+00,2.727368786152121860e+00,2.874720131976595372e+00,1.087037480911964726e+00,1.349722730483923216e+00
1.400000000000000133e+00,2.523650588173651954e+00,2.805026619976818125e+00,1.155665447097264265e+00,1.312263882670967163e+00
1.450000000000000178e+00,2.542480883646087264e+00,2.793497891621032903e+00,1.060339449380652832e+00,1.255324109533266785e+00
1.500000000000000000e+00,2.629761111872674029e+00,2.805498704202258331e+00,1.153479729677352461e+00,1.206156032208139495e+00
1.550000000000000044e+00,2.724989383445407753e+00,2.834898042766577309e+00,1.439031643095013191e+00,1.288651253234346150e+00
1.600000000000000089e+00,2.357920188277038864e+00,2.173291925691211546e+00,1.537530502042927072e+00,1.171392806195939551e+00
1.650000000000000133e+00,2.399182946823218643e+00,2.104536576354845145e+00,1.493614851113741926e+00,9.587346892325298020e-01
1.700000000000000178e+00,2.490363595336465785e+00,2.144254151706018963e+00,1.493620540662603746e+00,7.810626297309311017e-01
1.750000000000000000e+00,2.648563353180118263e+00,2.272831556349109938e+00,1.601129521668023248e+00,8.532219747490347173e-01
1.800000000000000044e+00,2.099432117182525648e+00,2.247566857529236906e+00,1.139293337253083571e+00,1.125115065712842588e+00
1.850000000000000089e+00,2.169620275171638468e+00,2.336847753159174257e+00,9.785397094500417614e-01,1.078021787807144083e+00
1.900000000000000133e+00,2.229006703565033831e+00,2.417069828788268815e+00,8.855286625054897831e-01,1.095990279231498166e+00
1.950000000000000178e+00,2.307577118235286218e+00,2.538695620796516117e+00,9.284690708527062464e-01,1.091020557609966746e+00
2.000000000000000000e+00,2.386317766550306363e+00,2.582501983030751180e+00,9.509786822164000286e-01,8.835255822475693854e-01
2.050000000000000266e+00,2.423059362047715215e+00,2.577278089869556865e+00,8.784400924336240868e-01,8.566295856520094176e-01
2.100000000000000089e+00,2.547430227939723402e+00,2.686351586963874993e+00,9.515254810706895716e-01,9.063995765390171488e-01
2.149999999999999911e+00,2.654273367187315547e+00,2.857375254450622570e+00,1.069043540991047259e+00,1.041014737064436479e+00
2.200000000000000178e+00,2.752689419957107919e+00,2.939544205214845274e+00,8.747699984283732189e-01,8.498375184277513483e-01
2.250000000000000000e+00,2.850246578306997236e+00,3.101199964723297064e+00,7.981027809133184325e-01,9.215436087856019309e-01
2.300000000000000266e+00,2.975937067757852272e+00,3.289896737216168709e+00,9.173181474623987031e-01,1.069004448065749679e+00
2.350000000000000089e+00,3.111071499393302631e+00,3.489640153088558350e+00,1.226910062657775358e+00,1.259481594298578644e+00
2.400000000000000355e+00,3.072456791158888478e+00,3.262277647265853453e+00,1.086071376104471131e+00,1.151424452834279188e+00
2.450000000000000178e+00,3.131430615618443714e+00,3.332468288469156104e+00,1.065272483918251911e+00,1.185623909395847830e+00
2.500000000000000000e+00,3.214974351384952911e+00,3.350003554066748546e+00,1.102377727991783685e+00,1.223581341860956906e+00
2.550000000000000266e+00,3.232685642658639669e+00,3.330854672128183314e+00,1.103981102239474321e+00,1.365455038011658129e+00
2.600000000000000089e+00,2.754320919117589028e+00,2.813441953966743903e+00,1.056095667256247372e+00,1.139954950861348459e+00
2.650000000000000355e+00,2.751811639926422970e+00,2.759488549757127096e+00,9.717910424103801681e-01,1.011280400997884410e+00
2.700000000000000178e+00,2.823038954658688926e+00,2.697759297325744043e+00,1.122714055491402352e+00,9.497320348213409424e-01
2.750000000000000000e+00,2.935363022425374613e+00,2.686119142592855003e+00,1.368204987923647531e+00,1.074656308782470981e+00
2.800000000000000266e+00,2.933915977109558426e+00,2.325243819467302853e+00,1.237496869842502178e+00,1.083194035408696410e+00
2.850000000000000089e+00,2.881417787078590642e+00,2.309602799773803561e+00,1.216267875531303444e+00,1.111264422607138203e+00
2.900000000000000355e+00,2.815076993904489733e+00,2.306605120380413876e+00,1.227760523313704111e+00,1.113263208140226057e+00
2.950000000000000178e+00,2.828277479384903703e+00,2.414805496477693492e+00,1.347018861087651009e+00,1.186493511498416309e+00
3.000000000000000000e+00,2.774604064041791496e+00,2.455850390827128749e+00,1.479587635305077420e+00,1.111518149142195711e+00
