method,rmse,improvement_vs_enkf
EnKF,3.1838994352073238,0.0
EAKF,2.833074006303449,11.018734606516558
EnKF+Transformer,1.9022761858585155,40.25325785031755
EAKF+Transformer,1.7373045573011268,45.434691244009095
