t,rmse_enkf,rmse_eakf,rmse_enkf_tr,rmse_eakf_tr
0.000000000000000000e+00,8.986123015501149558e-01,8.986123015501149558e-01,9.713821186681811382e-01,8.627029348975865375e-01
5.000000000000000278e-02,9.476875100540638197e-01,9.476875100540638197e-01,9.155112599546890717e-01,8.468031408425672479e-01
1.000000000000000056e-01,1.121784050452742987e+00,1.121784050452742987e+00,9.619853602186898556e-01,9.539624200245645502e-01
1.500000000000000222e-01,1.244040609856801982e+00,1.244040609856801982e+00,9.894216057947117227e-01,9.993274375818137489e-01
2.000000000000000111e-01,1.130360254712263091e+00,1.129481119071165329e+00,9.003753321231028339e-01,9.255583706621829387e-01
2.500000000000000000e-01,1.180549975745398772e+00,1.189684989603523535e+00,9.640244197214863364e-01,9.449317684195157607e-01
3.000000000000000444e-01,1.164358402672224457e+00,1.256760151394172853e+00,9.081085606983014813e-01,1.000683435725868264e+00
3.500000000000000333e-01,1.203581701105684632e+00,1.314672030507088696e+00,8.768267767161594950e-01,1.063743213103713448e+00
4.000000000000000222e-01,1.134973663215172568e+00,1.332138559324739902e+00,8.800979470037877395e-01,1.120217906864607649e+00
4.500000000000000111e-01,1.213263603689403336e+00,1.305210663541471305e+00,9.084780044411306932e-01,1.059681054878742534e+00
5.000000000000000000e-01,1.365369436258635272e+00,1.384186889865110182e+00,9.236660188344093525e-01,1.052227052729799217e+00
5.500000000000000444e-01,1.634292706558365449e+00,1.602844744243164810e+00,9.797039628478114714e-01,1.064421019317328465e+00
6.000000000000000888e-01,1.465943671107144075e+00,1.497594744565466485e+00,1.018100762289495309e+00,1.080216694946487088e+00
6.500000000000000222e-01,1.521858586045065076e+00,1.461521220582525205e+00,7.565738209840855433e-01,9.490678004671515566e-01
7.000000000000000666e-01,1.668980132493442126e+00,1.517433026282738240e+00,7.372836620783290718e-01,8.903593177638443601e-01
7.500000000000000000e-01,1.840518524227614305e+00,1.603217411941594506e+00,9.600435575259146370e-01,9.210689715969958558e-01
8.000000000000000444e-01,1.723981138597721285e+00,1.762509701236439685e+00,8.645586510485276932e-01,7.725193398545429080e-01
8.500000000000000888e-01,1.803583711935605738e+00,1.869373820369025774e+00,7.909302989368002246e-01,7.646044868496755242e-01
9.000000000000000222e-01,1.987892910244875688e+00,2.086739764851197165e+00,1.015601260112979576e+00,9.727513913160824588e-01
9.500000000000000666e-01,2.242553072233569367e+00,2.301251941427003622e+00,1.481485207445683461e+00,1.227694661415067445e+00
1.000000000000000000e+00,2.246109202723976850e+00,2.409292892378468220e+00,1.341388997179191911e+00,1.557658423357902278e+00
1.050000000000000044e+00,2.364370934160890059e+00,2.477162090022622110e+00,1.287018788661838720e+00,1.561806500352199034e+00
1.100000000000000089e+00,2.531285819665811232e+00,2.478750490543216500e+00,1.472113157321419674e+00,1.462370444320117979e+00
1.150000000000000133e+00,2.728478480107393356e+00,2.476191887256722790e+00,1.710846481778060202e+00,1.334804933639314628e+00
1.200000000000000178e+00,2.363174818634355745e+00,2.871660066906581488e+00,1.151574077534640139e+00,1.827956472149625755e+00
1.250000000000000000e+00,2.601248018980873766e+00,2.727453592979524277e+00,1.196966977969278645e+00,1.691212084353586942e+00
1.300000000000000044e+00,2.798008012065086092e+00,2.663306983887791191e+00,1.353737752064729793e+00,1.615470870930087122e+00
1.350000000000000089e+00,2.987674578171844786e+00,2.752771455300508929e+00,1.608664798869408941e+00,1.709340051568133845e+00
1.400000000000000133e+00,3.359351324663667260e+00,2.984920319901545493e+00,1.629592191595402584e+00,1.965724829635048021e+00
1.450000000000000178e+00,3.313680250674019501e+00,2.831833906860597327e+00,1.733083383600963812e+00,1.784852249048948236e+00
1.500000000000000000e+00,3.230700923333817087e+00,2.815819583030489515e+00,1.929752023374888825e+00,1.750400179367372022e+00
1.550000000000000044e+00,3.138740157441993528e+00,2.868485723078219696e+00,2.117979821655057826e+00,1.754459074399306484e+00
1.600000000000000089e+00,2.801127644202422662e+00,4.139143574913185297e+00,2.032562573321615051e+00,3.280675720796895511e+00
1.650000000000000133e+00,2.729018995029107497e+00,3.994707622957696103e+00,1.768513842166692385e+00,3.265046692412276297e+00
1.700000000000000178e+00,2.715845031775386609e+00,3.646166856443065818e+00,1.558583311318693543e+00,3.113254778186971272e+00
1.750000000000000000e+00,2.814919480005553698e+00,3.218656278574206109e+00,1.555420756413662842e+00,2.639745864449507984e+00
