t,rmse_enkf,rmse_eakf,rmse_enkf_tr,rmse_eakf_tr
0.000000000000000000e+00,8.986123015501149558e-01,8.986123015501149558e-01,9.631200871255597429e-01,9.471030709675710701e-01
5.000000000000000278e-02,9.476875100540638197e-01,9.476875100540638197e-01,9.112068697420929730e-01,9.499473878508272184e-01
1.000000000000000056e-01,1.121784050452742987e+00,1.121784050452742987e+00,1.025663006359541995e+00,1.052663748786874853e+00
1.500000000000000222e-01,1.244040609856801982e+00,1.244040609856801982e+00,1.058697583899722350e+00,1.009457635451433077e+00
2.000000000000000111e-01,1.144069540724651945e+00,1.142966076196463066e+00,1.048078091501546405e+00,1.039975570725905074e+00
2.500000000000000000e-01,1.194947919000069136e+00,1.203575869936836629e+00,1.047085224009194127e+00,9.867748454209219755e-01
3.000000000000000444e-01,1.178762530011439713e+00,1.271763474127868720e+00,9.497589424388075408e-01,9.278396318185503366e-01
3.500000000000000333e-01,1.217658001532974987e+00,1.329512458469311431e+00,9.433427214596600274e-01,9.684584643746446675e-01
4.000000000000000222e-01,1.159916834474596481e+00,1.325960897106597924e+00,8.771131798347611142e-01,1.122710197509327434e+00
4.500000000000000111e-01,1.237256140624538370e+00,1.290415760184399740e+00,8.770571809157056142e-01,1.071729899522732232e+00
5.000000000000000000e-01,1.385243698080137698e+00,1.364226751411702132e+00,9.457399743562183714e-01,1.063667155506480944e+00
5.500000000000000444e-01,1.647855164102361325e+00,1.583400806183477671e+00,1.084473693712675324e+00,1.040020114434461851e+00
6.000000000000000888e-01,1.488567245873373635e+00,1.477671160380967130e+00,1.078616733734288013e+00,1.147737096558102410e+00
6.500000000000000222e-01,1.544257582699741782e+00,1.434203790096171272e+00,8.562288577260803724e-01,1.015429353106693799e+00
7.000000000000000666e-01,1.685850640599019901e+00,1.484730779393376165e+00,7.986637312838937852e-01,9.031687196675665108e-01
7.500000000000000000e-01,1.851102769003804882e+00,1.578793575822013073e+00,9.286202598283883614e-01,9.701763174609098206e-01
8.000000000000000444e-01,1.749920818717844995e+00,1.694171313810925339e+00,1.028046188930776150e+00,1.000594909090463114e+00
8.500000000000000888e-01,1.845898753403286685e+00,1.803030341206674381e+00,9.392178079132103008e-01,1.060784069166372134e+00
9.000000000000000222e-01,2.035685836491723411e+00,2.017922272818403862e+00,1.032119902455844951e+00,1.174297058127429461e+00
9.500000000000000666e-01,2.289615351697122048e+00,2.240830314525416700e+00,1.422254391837510346e+00,1.298025628589322578e+00
1.000000000000000000e+00,2.319194859729577285e+00,2.238283195204653797e+00,1.183088526045648070e+00,1.490641760214073797e+00
1.050000000000000044e+00,2.446133548155959403e+00,2.335615312819093958e+00,1.150144677625908773e+00,1.494654529034051604e+00
1.100000000000000089e+00,2.609506975032465093e+00,2.384754641394319474e+00,1.347164378744405866e+00,1.443743108071741998e+00
1.150000000000000133e+00,2.799226788730045712e+00,2.415516504709492640e+00,1.603676154693204792e+00,1.361547690590068749e+00
1.200000000000000178e+00,2.667691771905918330e+00,2.851769298565836941e+00,1.178771250649157221e+00,1.635386607471546849e+00
1.250000000000000000e+00,2.956230651997175052e+00,2.767446811393228234e+00,1.295076918626012707e+00,1.418009952788492622e+00
1.300000000000000044e+00,3.171403238363291521e+00,2.718974699002841611e+00,1.474467185920629975e+00,1.415091298978864431e+00
1.350000000000000089e+00,3.348967746723791272e+00,2.798968862447935191e+00,1.704691454074814594e+00,1.662891015241810155e+00
1.400000000000000133e+00,3.979135341509541846e+00,3.062422714968788817e+00,2.308947205399233038e+00,2.037515194683892972e+00
1.450000000000000178e+00,3.922994957897922852e+00,2.899665240019804191e+00,2.331605274204921585e+00,1.907648903969680232e+00
1.500000000000000000e+00,3.811772073730416377e+00,2.877793754479073485e+00,2.333923158142603427e+00,1.864417852896984806e+00
1.550000000000000044e+00,3.668761270454535151e+00,2.939765160763326612e+00,2.406312537403319407e+00,1.907137638379790223e+00
1.600000000000000089e+00,2.964237618630679361e+00,3.663120937369238383e+00,2.125890038628707845e+00,2.812165416349849956e+00
1.650000000000000133e+00,2.979174703902006005e+00,3.637314393061837681e+00,1.832626886682652056e+00,2.742473594236088719e+00
1.700000000000000178e+00,3.086792348361186100e+00,3.375455842935251027e+00,1.700703543664543904e+00,2.495000057547709371e+00
1.750000000000000000e+00,3.270254692398338214e+00,3.012006154257746093e+00,1.817629391857924714e+00,2.206934738882324165e+00
1.800000000000000044e+00,3.658151280861967614e+00,3.618787163328046397e+00,2.004483087025289212e+00,2.592334192473481735e+00
1.850000000000000089e+00,3.716706454260051196e+00,3.600804824073103649e+00,2.017503009633613065e+00,2.484313939249804370e+00
