t,rmse_enkf,rmse_eakf,rmse_enkf_tr,rmse_eakf_tr
0.000000000000000000e+00,8.986123015501149558e-01,8.986123015501149558e-01,9.656690945736806642e-01,9.936275553676263694e-01
5.000000000000000278e-02,9.466102702305738692e-01,9.466102702305738692e-01,9.635436397753061044e-01,9.751777194686956918e-01
1.000000000000000056e-01,1.115355244011162261e+00,1.115355244011162261e+00,1.030243266939912417e+00,1.049005874423330598e+00
1.500000000000000222e-01,1.241320959948311264e+00,1.241320959948311264e+00,9.797364164687539789e-01,1.036662173935632758e+00
2.000000000000000111e-01,1.088428825389539556e+00,1.088484331058337862e+00,7.856405221556319596e-01,9.243424909280528734e-01
2.500000000000000000e-01,1.134381842243237459e+00,1.143751019789100543e+00,7.764462398591895909e-01,9.351339991942569929e-01
3.000000000000000444e-01,1.118564018799365511e+00,1.202252905901513236e+00,8.854184011856524039e-01,9.856138122738090646e-01
3.500000000000000333e-01,1.145143772608691490e+00,1.252312449728424593e+00,1.094067410699488985e+00,1.011307635404267158e+00
4.000000000000000222e-01,1.065439817519677757e+00,1.317922279959391929e+00,1.069246794261752953e+00,1.047577837430367698e+00
4.500000000000000111e-01,1.126814706505719021e+00,1.322529159969880963e+00,1.020543147200016154e+00,1.015865019735255226e+00
5.000000000000000000e-01,1.254360230898453610e+00,1.405396338992604299e+00,9.801319461674475875e-01,1.014890554200449158e+00
5.500000000000000444e-01,1.498539991640070568e+00,1.602294076669191325e+00,9.841818347306547921e-01,9.357182663333803996e-01
6.000000000000000888e-01,1.425445428831199290e+00,1.614613502610910301e+00,8.814372826833377639e-01,8.600641937776953849e-01
6.500000000000000222e-01,1.473461465736289444e+00,1.638966346822531506e+00,7.729823979371918119e-01,8.307772440698201200e-01
7.000000000000000666e-01,1.608382121700712153e+00,1.729181833161360426e+00,8.587111494388720567e-01,8.884182793397040756e-01
7.500000000000000000e-01,1.762818175545256549e+00,1.797917002205293269e+00,1.063968453043739659e+00,1.006448211373237589e+00
8.000000000000000444e-01,1.506817815802506066e+00,1.962208147523549773e+00,9.025139628535349123e-01,8.051240002843367272e-01
8.500000000000000888e-01,1.519888207400611035e+00,2.057116601227794384e+00,7.833257595952224372e-01,7.502583241309918050e-01
9.000000000000000222e-01,1.705425567592669500e+00,2.261193254456579371e+00,9.488947479124183459e-01,9.145238685537769863e-01
9.500000000000000666e-01,1.998846649389597330e+00,2.437843626699206290e+00,1.314101227220986212e+00,1.153562864403899324e+00
1.000000000000000000e+00,1.857808675482344407e+00,2.399541291871831739e+00,9.089615712761489608e-01,1.179907951541561362e+00
1.050000000000000044e+00,1.981404900501148258e+00,2.392486231113863493e+00,9.440983382248970823e-01,1.193123071990268569e+00
1.100000000000000089e+00,2.163221815671068970e+00,2.319512950897713033e+00,1.128570005100312912e+00,1.169863892156885354e+00
1.150000000000000133e+00,2.347080937451529348e+00,2.260336962938000127e+00,1.279756333790443401e+00,1.143696548060891383e+00
1.200000000000000178e+00,2.206672529394593685e+00,2.268994605751365246e+00,1.258240253414596443e+00,1.264011058089470563e+00
1.250000000000000000e+00,2.221834656515124351e+00,2.211264245808372664e+00,1.174449485483794131e+00,1.131188796232215132e+00
1.300000000000000044e+00,2.269835637468502920e+00,2.249009961344912600e+00,1.243536108689747843e+00,1.229033393725363688e+00
1.350000000000000089e+00,2.430364422314772455e+00,2.382347317279329690e+00,1.416606324431295416e+00,1.473446670275492698e+00
1.400000000000000133e+00,2.426253666325203007e+00,2.056539361470007155e+00,1.185857311551760995e+00,1.119728002139563472e+00
1.450000000000000178e+00,2.450194240177874239e+00,1.961669243482540903e+00,1.040567693037591779e+00,1.033531938417553864e+00
1.500000000000000000e+00,2.620212047004908840e+00,1.961009362445566007e+00,1.253651893320382849e+00,1.017071171850592926e+00
1.550000000000000044e+00,2.752165540004190447e+00,2.033801679730921297e+00,1.620956411669472574e+00,1.007388766953575931e+00
1.600000000000000089e+00,2.663966179283947078e+00,2.194202506486838011e+00,2.019241816994909566e+00,1.239056423416156294e+00
1.650000000000000133e+00,2.435033870748072982e+00,2.333057582615906345e+00,1.918272263714220660e+00,1.330311294367470643e+00
1.700000000000000178e+00,2.529316037993674549e+00,2.424763872785955954e+00,2.044218335311608570e+00,1.325184703258852847e+00
1.750000000000000000e+00,2.767648489929231737e+00,2.565193265155699898e+00,1.999009262901822348e+00,1.390391914457983491e+00
1.800000000000000044e+00,2.240536285975947006e+00,2.405145646107809121e+00,1.329945458474022457e+00,1.521527666052412409e+00
1.850000000000000089e+00,2.255463476365708875e+00,2.430539959966098618e+00,1.244192079969508091e+00,1.376961666120375183e+00
1.900000000000000133e+00,2.222102294942475798e+00,2.428702759838422320e+00,1.147670786640166529e+00,1.287867076587723592e+00
1.950000000000000178e+00,2.200582062778055015e+00,2.428157513508831133e+00,1.095409165855038447e+00,1.238451963559917157e+00
2.000000000000000000e+00,1.941302474815903567e+00,2.132984703030132323e+00,9.671255388097493855e-01,9.917375733699039797e-01
2.050000000000000266e+00,2.067511310573609151e+00,2.115840699503707789e+00,9.268544815010589799e-01,1.067883251727614224e+00
2.100000000000000089e+00,2.185020769785037231e+00,2.184675781726820087e+00,1.024281377445777963e+00,1.033959381831287550e+00
2.149999999999999911e+00,2.364934277624582748e+00,2.286023863982220572e+00,1.127049432448787414e+00,9.981199255154231675e-01
2.200000000000000178e+00,2.628359067975484464e+00,2.701545750893703079e+00,9.781318350282708352e-01,1.204739266927267849e+00
2.250000000000000000e+00,2.693558363494890084e+00,2.841608845285798157e+00,1.061987216388809552e+00,1.336642244289668380e+00
2.300000000000000266e+00,2.832461322285716676e+00,2.935361268910630539e+00,1.182764367253296367e+00,1.406864196696331115e+00
2.350000000000000089e+00,2.923411344760921793e+00,3.064396746586484532e+00,1.355485632500906368e+00,1.458774324933035382e+00
2.400000000000000355e+00,2.592698798700248997e+00,3.042535588797664836e+00,1.234117663717274826e+00,1.593263154572710061e+00
2.450000000000000178e+00,2.741235761824246886e+00,3.062702094013714849e+00,1.274834402420031321e+00,1.517527836610220726e+00
2.500000000000000000e+00,2.971060411864415496e+00,3.154351205941572811e+00,1.460083404226056425e+00,1.537391935199442505e+00
2.550000000000000266e+00,3.163129995437352626e+00,3.226226431487425383e+00,1.701071511597308739e+00,1.543712209659239054e+00
2.600000000000000089e+00,3.516024422267448379e+00,3.266282922559627711e+00,1.899608033610940883e+00,1.838118172645549775e+00
2.650000000000000355e+00,3.591627573146123353e+00,3.276837448257575058e+00,1.899417270100996813e+00,1.996972501590172921e+00
2.700000000000000178e+00,3.636855011151234773e+00,3.320320513991525058e+00,1.985362021752869577e+00,2.258611789505271528e+00
2.750000000000000000e+00,3.634752521942976156e+00,3.378277364727759302e+00,2.185843670317621612e+00,2.491670067331046567e+00
2.800000000000000266e+00,3.755186362728577087e+00,3.359872117571941708e+00,2.075780548731975816e+00,2.325571973332059450e+00
2.850000000000000089e+00,3.645640257770486503e+00,3.311148071273022353e+00,1.992115960804158314e+00,2.249342517224183879e+00
2.900000000000000355e+00,3.604197417568979045e+00,3.232893353460362551e+00,2.034561655967131788e+00,2.178120280918443008e+00
2.950000000000000178e+00,3.470305400525250938e+00,3.099574720165114261e+00,2.045227912381921254e+00,2.198399796103324810e+00
3.000000000000000000e+00,3.498320259051111769e+00,2.712970734816910756e+00,1.925554229973137410e+00,1.649953721216374403e+00
3.050000000000000266e+00,3.626098040642801834e+00,2.640685338731385556e+00,2.007797921710447131e+00,1.531461814284660772e+00
3.100000000000000089e+00,3.749975600431186606e+00,2.605136729268651141e+00,2.160971601660469421e+00,1.423954208399039079e+00
3.150000000000000355e+00,3.844619949055950503e+00,2.553916821731364362e+00,2.443079611448763622e+00,1.306527494500751230e+00
3.200000000000000178e+00,4.597527075909582095e+00,2.265824729965379536e+00,3.168422796259871888e+00,1.131779142307750341e+00
3.250000000000000000e+00,4.611662268143048138e+00,2.202408492184444899e+00,3.123788975798860612e+00,1.187704476745745197e+00
3.300000000000000266e+00,4.605894465169387608e+00,2.308566350076373119e+00,3.254753977316336311e+00,1.462712248723964326e+00
3.350000000000000089e+00,4.597880496550232010e+00,2.392537108018694791e+00,3.442451950677202444e+00,1.779630655314599963e+00
3.400000000000000355e+00,4.940404832762954612e+00,2.428080647761208244e+00,3.675752381275889213e+00,1.360743017913709663e+00
3.450000000000000178e+00,4.917846027934469788e+00,2.326633450971137052e+00,3.656134884348810843e+00,1.369013407965491647e+00
3.500000000000000000e+00,4.673376854914661926e+00,2.239284573677321255e+00,3.364395091595599130e+00,1.599183440430465675e+00
3.550000000000000266e+00,4.212420834899905486e+00,2.321632833221721537e+00,3.001497578688569590e+00,2.096414467904179180e+00
3.600000000000000089e+00,4.202208327157370249e+00,2.866470219131344699e+00,2.728495298875611486e+00,1.956985086605449453e+00
3.650000000000000355e+00,4.018834473101242644e+00,2.964106624210208096e+00,2.501000470661522534e+00,1.984306591947043730e+00
3.700000000000000178e+00,3.955516616166667276e+00,3.069775278821171405e+00,2.607930639263178030e+00,1.975274229359609057e+00
3.750000000000000000e+00,3.929091857644721575e+00,3.211209482194089748e+00,2.847332997134209620e+00,1.859251790843963859e+00
3.800000000000000266e+00,4.329329937253102223e+00,4.383972301869877519e+00,3.119416922264880210e+00,2.831618291775314766e+00
3.850000000000000089e+00,4.215847535955552061e+00,4.464036847762143267e+00,2.967023871120746392e+00,2.869299328352113765e+00
3.900000000000000355e+00,3.943108259094881163e+00,4.323312812259893612e+00,2.728743393695618913e+00,2.826482285089852109e+00
3.950000000000000178e+00,3.686706794395692377e+00,4.126793833165898207e+00,2.444475976543655005e+00,2.964256100154043949e+00
4.000000000000000000e+00,3.318196934574027424e+00,4.524034570127706267e+00,2.056632611752036155e+00,3.257141312131685229e+00
4.049999999999999822e+00,3.212132943718156053e+00,4.375729447256448523e+00,1.849794145300839299e+00,3.275858143252354360e+00
4.100000000000000533e+00,3.040980040370141246e+00,4.186933969738883654e+00,1.647074694770432224e+00,3.290380028115083455e+00
4.150000000000000355e+00,2.940999863182279572e+00,3.880622321947789111e+00,1.632748607892734904e+00,3.199106389897818925e+00
4.200000000000000178e+00,3.563603894487564538e+00,3.322416062002045756e+00,1.928148053781161275e+00,2.191296239144890468e+00
4.250000000000000000e+00,3.659639119003599728e+00,2.981661747897359938e+00,2.015124889488031368e+00,1.815249743329854226e+00
4.299999999999999822e+00,3.713211876412819468e+00,2.967650760761208595e+00,2.251173169873661006e+00,1.752674451524509625e+00
4.350000000000000533e+00,3.615906165417113183e+00,3.167884701436851191e+00,2.423595597764610421e+00,1.893923819015036925e+00
4.400000000000000355e+00,3.304047472947243769e+00,3.156893519480644894e+00,1.788157736358208183e+00,1.574899273708939562e+00
4.450000000000000178e+00,3.343304487766508348e+00,3.338536105621711325e+00,1.629324106476764955e+00,1.661265862981530006e+00
4.500000000000000000e+00,3.428004194673861527e+00,3.476742859503020089e+00,1.539389959245550887e+00,1.799984694808396624e+00
4.549999999999999822e+00,3.541887044091202252e+00,3.550185424542451340e+00,1.614207948077628352e+00,1.925311051236830329e+00
4.600000000000000533e+00,4.669088623704570118e+00,2.927290923858185678e+00,2.720756454027126736e+00,1.728961789407434946e+00
4.650000000000000355e+00,4.625352097699096277e+00,2.934178354163032409e+00,2.530956088137524596e+00,1.716051536388820686e+00
4.700000000000000178e+00,4.459366982970649929e+00,2.917547252706011562e+00,2.296001143398849642e+00,1.618666933375263017e+00
4.750000000000000000e+00,4.231954840369900772e+00,2.870754270026726118e+00,2.124118634087525326e+00,1.550859715750441792e+00
