t,rmse_enkf,rmse_eakf,rmse_enkf_tr,rmse_eakf_tr
0.000000000000000000e+00,8.986123015501149558e-01,8.986123015501149558e-01,1.064804726604714702e+00,1.024738185420070780e+00
5.000000000000000278e-02,9.476875100540638197e-01,9.476875100540638197e-01,1.002289842344411319e+00,1.002342803868822463e+00
1.000000000000000056e-01,1.121784050452742987e+00,1.121784050452742987e+00,1.022863615425050554e+00,1.032596623570261718e+00
1.500000000000000222e-01,1.244040609856801982e+00,1.244040609856801982e+00,9.576128053342753965e-01,1.019325372564397147e+00
2.000000000000000111e-01,1.075174429475532989e+00,1.074985841759250160e+00,7.745952627768304399e-01,8.489167137946274089e-01
2.500000000000000000e-01,1.124356829835173599e+00,1.134605373000017181e+00,7.547942889240006892e-01,8.282434981087307690e-01
3.000000000000000444e-01,1.111824714019659766e+00,1.197156734794960542e+00,7.394487495868187210e-01,8.179222300558224301e-01
3.500000000000000333e-01,1.155744624296217493e+00,1.258330126894507961e+00,8.398549486478360526e-01,9.588242160868413189e-01
4.000000000000000222e-01,1.078966093174290819e+00,1.396519022986509651e+00,8.743422870607793218e-01,1.035758113248379075e+00
4.500000000000000111e-01,1.162876113181860127e+00,1.409218660197670614e+00,8.962682556544073753e-01,9.736724531083567058e-01
5.000000000000000000e-01,1.329151429649291227e+00,1.510683482906264974e+00,8.974049050695892538e-01,9.049548701517960980e-01
5.500000000000000444e-01,1.616380438048280688e+00,1.726434267043948090e+00,9.213871145223258008e-01,8.463141197186695441e-01
6.000000000000000888e-01,1.548514000435052607e+00,1.731917859708487883e+00,9.707796118260437757e-01,8.873601191539699506e-01
6.500000000000000222e-01,1.638119525459867720e+00,1.758594850947779342e+00,7.782835608264817573e-01,7.929087625913718851e-01
7.000000000000000666e-01,1.817620130341208062e+00,1.857988747861948786e+00,8.396354176666396274e-01,8.407300475134685813e-01
7.500000000000000000e-01,2.008614643713249936e+00,1.924775190634905542e+00,1.014651285648618506e+00,1.011631046551507485e+00
8.000000000000000444e-01,1.945372422148737845e+00,2.150167446703691088e+00,1.179279746206412849e+00,1.084034268077424201e+00
8.500000000000000888e-01,1.937275238230521168e+00,2.201066557324468320e+00,1.126218236161259378e+00,1.058162463327687819e+00
9.000000000000000222e-01,2.100839507749438173e+00,2.346116110343695382e+00,1.365468950272437532e+00,1.096070830873361102e+00
9.500000000000000666e-01,2.372022058928123123e+00,2.456751096486305297e+00,2.065815530502594477e+00,1.136669118129567169e+00
1.000000000000000000e+00,2.351359397752461167e+00,2.487621247582987749e+00,1.286606069007002473e+00,1.174310621705375812e+00
1.050000000000000044e+00,2.503306024280509412e+00,2.483635416726106104e+00,1.346504849906873247e+00,1.311190047605969466e+00
1.100000000000000089e+00,2.694659367605706457e+00,2.407725230622192569e+00,1.496718318883664356e+00,1.375520169790803493e+00
1.150000000000000133e+00,2.903635533003574576e+00,2.329188647917342703e+00,1.716160005452582071e+00,1.316367145441555309e+00
1.200000000000000178e+00,2.904277279150904167e+00,2.049563060577431539e+00,1.724263022401193224e+00,1.409147737892354924e+00
1.250000000000000000e+00,2.986772299177238743e+00,1.959060271218407756e+00,1.618310823354941030e+00,1.317552371502231034e+00
1.300000000000000044e+00,3.020853956805569673e+00,1.955413159974617399e+00,1.608715020645241633e+00,1.424150890484043197e+00
1.350000000000000089e+00,3.155727059597193573e+00,2.108912492853163290e+00,1.810517619727495697e+00,1.730388680323113659e+00
1.400000000000000133e+00,2.818090218382828915e+00,1.770037565290784709e+00,1.330234545849947381e+00,1.015759519700439206e+00
1.450000000000000178e+00,2.772140736844096676e+00,1.711163328963397179e+00,1.325148291552673108e+00,9.457975983422107769e-01
1.500000000000000000e+00,2.805551243271373618e+00,1.738470754687019726e+00,1.484655475655819012e+00,9.197404503805249876e-01
1.550000000000000044e+00,2.848583162649299449e+00,1.828010791932664691e+00,1.840212098161546406e+00,9.218577800549231371e-01
1.600000000000000089e+00,2.811400556156144148e+00,2.077591680227579563e+00,1.855816096079435873e+00,1.184069493136437723e+00
1.650000000000000133e+00,2.756436187115544278e+00,2.097866869650273358e+00,1.807495757141530435e+00,1.058101463956310884e+00
1.700000000000000178e+00,2.755905398237553428e+00,2.120181213618162808e+00,1.701192156006962053e+00,9.719988343471923642e-01
1.750000000000000000e+00,2.854681912913366038e+00,2.218510012503077000e+00,1.732438601482334084e+00,1.141682324135590232e+00
1.800000000000000044e+00,3.013791651609345479e+00,2.136447580043814742e+00,1.523168799109825944e+00,1.149276443641582546e+00
1.850000000000000089e+00,3.185317077565684496e+00,2.248156095467773508e+00,1.548985522573178786e+00,9.864883384765614771e-01
1.900000000000000133e+00,3.332201753869072025e+00,2.296082445795461613e+00,1.660357543497614330e+00,9.459162958578892777e-01
1.950000000000000178e+00,3.451011119182433529e+00,2.432630849568254483e+00,1.823893988610856720e+00,1.092916763509562017e+00
2.000000000000000000e+00,3.611307269264066200e+00,2.031783108530411663e+00,1.920383167320375062e+00,9.222477195191600696e-01
2.050000000000000266e+00,3.701951736639420343e+00,2.069820655671013032e+00,1.976503449375433652e+00,9.794279241422494398e-01
2.100000000000000089e+00,3.660680762010553035e+00,2.176559785516925860e+00,1.930464779954605081e+00,1.042411941928189423e+00
2.149999999999999911e+00,3.599635522244666319e+00,2.383954792132198630e+00,1.858589283506102197e+00,1.240349889523839177e+00
2.200000000000000178e+00,3.439015473563619363e+00,2.569326600646952397e+00,1.484528519136131708e+00,9.633794672817453941e-01
2.250000000000000000e+00,3.432870268122639512e+00,2.788357795897306257e+00,1.344758959750749883e+00,9.739437701117973356e-01
2.300000000000000266e+00,3.584375109208421506e+00,2.977522863230371186e+00,1.424760826465290231e+00,1.029602158238792864e+00
2.350000000000000089e+00,3.696256113369778440e+00,3.239075535582811582e+00,1.582701060824017736e+00,1.211619794211913126e+00
2.400000000000000355e+00,3.437330987614247046e+00,3.317319473633156157e+00,1.515006827387932242e+00,1.706307230106219430e+00
2.450000000000000178e+00,3.517458195141860866e+00,3.367354184196031053e+00,1.575125951660764301e+00,1.591038218367487156e+00
2.500000000000000000e+00,3.662526614563265337e+00,3.429755430759364287e+00,1.685892256480416407e+00,1.547645582474872716e+00
2.550000000000000266e+00,3.759950870094526110e+00,3.519625437869580153e+00,1.816794876815220228e+00,1.625402071780420954e+00
2.600000000000000089e+00,4.310322231975187712e+00,3.985996874933344092e+00,2.240837957180235485e+00,1.853509253910053944e+00
2.650000000000000355e+00,4.180874216823991851e+00,4.037444158619299728e+00,2.129953951274237145e+00,1.765046767125995508e+00
2.700000000000000178e+00,3.915336276918209180e+00,3.927501168981758273e+00,2.024591639924843367e+00,1.696918934518503841e+00
2.750000000000000000e+00,3.649596058427819312e+00,3.758167136202797742e+00,1.916436153431680278e+00,1.644184085294348341e+00
2.800000000000000266e+00,3.629202733636909706e+00,3.249855515124593808e+00,2.081315287743704445e+00,1.256199342913204564e+00
2.850000000000000089e+00,3.516103648558650541e+00,3.143686940058830537e+00,2.011362680730406360e+00,1.200333367527891104e+00
2.900000000000000355e+00,3.585055907664298047e+00,3.043598980525793696e+00,2.057698022377810965e+00,1.167664019725378699e+00
2.950000000000000178e+00,3.506196136933444230e+00,2.886382374230380687e+00,2.127438370764280773e+00,1.181482008338512024e+00
3.000000000000000000e+00,3.089303025312181816e+00,3.166215683006856185e+00,1.551318422108652006e+00,1.487768426383562659e+00
3.050000000000000266e+00,2.871310198946231296e+00,3.098776167558166872e+00,1.465811800359932304e+00,1.337344607516188999e+00
3.100000000000000089e+00,2.731093616278017500e+00,3.147113790259981947e+00,1.525138362170559869e+00,1.402771333755755245e+00
3.150000000000000355e+00,2.656908529985779754e+00,3.217348597977643276e+00,1.713894440634444072e+00,1.628695350661026664e+00
3.200000000000000178e+00,2.515631736281001007e+00,2.811878963193453540e+00,1.524795469233376721e+00,1.593638861259407236e+00
3.250000000000000000e+00,2.617011067852416772e+00,2.686465690287685337e+00,1.559845820240108427e+00,1.477729186603959466e+00
3.300000000000000266e+00,2.864782223249679571e+00,2.778831283313871747e+00,1.653050942503978105e+00,1.473609543931964305e+00
3.350000000000000089e+00,3.169989279255421621e+00,2.888341833214456589e+00,1.785959051532309161e+00,1.577322448630856577e+00
3.400000000000000355e+00,4.122491564217941828e+00,3.051105148397656563e+00,2.294410402079553712e+00,1.488268910165854164e+00
3.450000000000000178e+00,4.001838230019912679e+00,2.940249402634343312e+00,2.131671546351749935e+00,1.342469177460030361e+00
3.500000000000000000e+00,3.910081124632290184e+00,2.869798344585130057e+00,2.051970309720164920e+00,1.326140298225960912e+00
3.550000000000000266e+00,3.867028598863828659e+00,2.958120373364409694e+00,2.100518617112245856e+00,1.532566759225719721e+00
3.600000000000000089e+00,3.942973911078782034e+00,3.330660518353995680e+00,2.141449156945480325e+00,1.719837748801586130e+00
3.650000000000000355e+00,3.751765491664627916e+00,3.298322548172868629e+00,1.836142567097588385e+00,1.660534977638625120e+00
3.700000000000000178e+00,3.716132345270225734e+00,3.457261797665033498e+00,1.754270427813749533e+00,1.756520151802169361e+00
3.750000000000000000e+00,3.780744542830505761e+00,3.710038864644481293e+00,2.062863811816518567e+00,2.002876714244691492e+00
3.800000000000000266e+00,3.322700292308833792e+00,3.895727159884857294e+00,1.690413398890532992e+00,2.268042501195258964e+00
3.850000000000000089e+00,3.353366441905941464e+00,3.887222720523855202e+00,1.584665266036348719e+00,2.271886729439727581e+00
3.900000000000000355e+00,3.378956494415631173e+00,3.862546637667392257e+00,1.741507489215540216e+00,2.381980540491064779e+00
3.950000000000000178e+00,3.429124471026372856e+00,3.805065319061952334e+00,2.036358292807161074e+00,2.504590485107085929e+00
4.000000000000000000e+00,3.532126967300006193e+00,4.609684281088245683e+00,2.169238675115473747e+00,3.251428010135310132e+00
4.049999999999999822e+00,3.443205763179336021e+00,4.340101128651987494e+00,2.240258339473458093e+00,2.906070719959646720e+00
4.100000000000000533e+00,3.284757380598176457e+00,4.142570593656166089e+00,2.201472283493249638e+00,2.682763664834394657e+00
4.150000000000000355e+00,3.132447457685755055e+00,3.933608902868278800e+00,2.239250515374812789e+00,2.568777103081171465e+00
4.200000000000000178e+00,3.371528873046171437e+00,4.431226117165786960e+00,2.278413255809756510e+00,2.911902757885786119e+00
4.250000000000000000e+00,3.283018240820220868e+00,4.222813080035809463e+00,2.131129664863998574e+00,2.668023847525931913e+00
4.299999999999999822e+00,3.134930218960807036e+00,3.894092116871244791e+00,2.089619780770357593e+00,2.395215527821932255e+00
4.350000000000000533e+00,2.920740146915158597e+00,3.589320107510219238e+00,2.047823467106329787e+00,2.302469922793040968e+00
4.400000000000000355e+00,2.947317136395212867e+00,3.182300448274543392e+00,1.830241593576604320e+00,1.805101854450067211e+00
4.450000000000000178e+00,2.980769870568515056e+00,3.099318291562584093e+00,1.863052639926411347e+00,1.730301047232986944e+00
4.500000000000000000e+00,3.035400709224937099e+00,3.087646343496778911e+00,1.941543416675585387e+00,1.826980938635756058e+00
4.549999999999999822e+00,3.114805632073404773e+00,3.026270036113440032e+00,2.109045722092179886e+00,1.932718683071401822e+00
4.600000000000000533e+00,3.261335103788739254e+00,3.493021943583776601e+00,2.031513360491998821e+00,2.150907929366703275e+00
4.650000000000000355e+00,3.230704784558661391e+00,3.410762388989504235e+00,1.904721936274718752e+00,1.924281472251118119e+00
4.700000000000000178e+00,3.272771558756343069e+00,3.401040377948381543e+00,1.994541386492335366e+00,1.868961116557489976e+00
4.750000000000000000e+00,3.314523849141426837e+00,3.365135097277823117e+00,2.164020609979915744e+00,1.970118138642111161e+00
4.800000000000000711e+00,4.565442933823211646e+00,3.135388290029391012e+00,2.941641368963066050e+00,1.735305288376108201e+00
4.850000000000000533e+00,4.465178578560115241e+00,3.224667848659323433e+00,2.768120570643346046e+00,1.931689621986108829e+00
4.900000000000000355e+00,4.339058732415573161e+00,3.384105070248252911e+00,2.582577266100202884e+00,2.164231894778526843e+00
4.950000000000000178e+00,4.339601120744757345e+00,3.409262251266933941e+00,2.612288756792523703e+00,2.292829716614438240e+00
