t,rmse_enkf,rmse_eakf,rmse_enkf_tr,rmse_eakf_tr
0.000000000000000000e+00,8.986123015501149558e-01,8.986123015501149558e-01,9.404447583141749556e-01,8.821371673509924571e-01
5.000000000000000278e-02,9.530085799561870408e-01,9.530085799561870408e-01,9.329503113097693534e-01,9.333229802423750332e-01
1.000000000000000056e-01,1.143664585617274021e+00,1.143664585617274021e+00,1.040971532813906641e+00,1.035730361284980194e+00
1.500000000000000222e-01,1.254737909659765727e+00,1.254737909659765727e+00,1.067939873690241681e+00,1.006081538163885236e+00
2.000000000000000111e-01,1.127792207506739253e+00,1.126319306503218654e+00,8.293408214596604822e-01,9.543085833531889106e-01
2.500000000000000000e-01,1.188024027984361242e+00,1.196894698019933090e+00,8.412620809165003433e-01,1.031629040911972606e+00
3.000000000000000444e-01,1.192199527637953560e+00,1.280812107614147877e+00,8.660315407888297123e-01,1.086968955431988793e+00
3.500000000000000333e-01,1.315491301135932600e+00,1.390034934935352240e+00,1.036383216520803341e+00,1.100626915538941430e+00
4.000000000000000222e-01,1.258544183617892775e+00,1.560986269520884040e+00,1.050364736215457118e+00,1.165033281608346183e+00
4.500000000000000111e-01,1.395985348232773759e+00,1.535644220473395771e+00,1.009668600063364563e+00,1.066471369426464921e+00
5.000000000000000000e-01,1.621830266928979913e+00,1.668518676812061674e+00,9.853541160988155134e-01,1.080403525652908536e+00
5.500000000000000444e-01,1.958997635105006685e+00,1.942033551183241391e+00,9.448364590658586692e-01,1.014059383799741587e+00
6.000000000000000888e-01,1.996488382411807594e+00,1.876605835285385382e+00,9.758262469531657768e-01,9.626065922249934514e-01
6.500000000000000222e-01,2.144107184605118732e+00,1.928724705433981779e+00,9.073218618271469138e-01,9.452904371146505502e-01
7.000000000000000666e-01,2.336155265210666521e+00,2.088817614987471316e+00,9.501106761881066287e-01,1.035494926472354749e+00
7.500000000000000000e-01,2.512061573462276876e+00,2.218120024063273021e+00,1.102665532826144323e+00,1.201849177660636148e+00
8.000000000000000444e-01,2.570827979426714816e+00,2.408489722764851848e+00,1.279417073869206112e+00,1.275462234569483488e+00
8.500000000000000888e-01,2.543900918118377596e+00,2.477910876735087697e+00,1.293210988057581945e+00,1.314533017517725222e+00
9.000000000000000222e-01,2.582945609323148428e+00,2.648704046685016689e+00,1.394901393913935639e+00,1.401878891687666773e+00
9.500000000000000666e-01,2.789653739236928942e+00,2.823818089980672408e+00,1.746706877173869188e+00,1.535376389237848249e+00
1.000000000000000000e+00,3.494019738943727749e+00,2.968792430779054747e+00,2.378354453294488913e+00,1.594371406654367496e+00
1.050000000000000044e+00,3.489121814225212059e+00,2.880890411774603255e+00,2.293391561726104921e+00,1.511212948824227187e+00
1.100000000000000089e+00,3.502393533321093599e+00,2.792745584081559151e+00,2.221679553664841045e+00,1.486157025431762646e+00
1.150000000000000133e+00,3.548005670491716224e+00,2.987384121941223825e+00,2.193393377266535715e+00,1.779467838175865069e+00
1.200000000000000178e+00,3.568659340306793215e+00,3.157320098587965251e+00,2.317094633910139923e+00,1.595256423167062731e+00
1.250000000000000000e+00,3.473570522975516717e+00,3.203841989652311817e+00,2.000406786699201689e+00,1.622210318171802168e+00
1.300000000000000044e+00,3.329597745230839845e+00,3.259690178541132521e+00,1.756720752891692827e+00,1.716337057233084051e+00
1.350000000000000089e+00,3.327181266719976271e+00,3.457486029150131923e+00,1.826545029144638344e+00,1.977226847174768709e+00
1.400000000000000133e+00,3.593422334706100507e+00,3.145963599787516607e+00,1.739450302559720773e+00,1.455431935821725364e+00
1.450000000000000178e+00,3.565820888812778477e+00,3.105847970415987369e+00,1.682086801516316399e+00,1.335578730351975940e+00
1.500000000000000000e+00,3.627433354786609332e+00,3.159401002870171560e+00,1.801607018712724440e+00,1.429991764087913397e+00
1.550000000000000044e+00,3.629993801256176322e+00,3.229425399822384080e+00,2.065987478452936177e+00,1.615556680767927356e+00
1.600000000000000089e+00,3.461371817926917061e+00,2.623475443131376483e+00,2.015398930278380796e+00,2.025517008183793877e+00
1.650000000000000133e+00,3.427634906139633397e+00,2.607198325971898711e+00,1.878256363345887525e+00,1.929174241768828013e+00
1.700000000000000178e+00,3.425424735157767575e+00,2.717004841661516679e+00,1.797003458155063571e+00,1.866835989383723193e+00
1.750000000000000000e+00,3.516274663244213006e+00,2.830753213365227783e+00,1.897129001130847925e+00,1.750565051976750608e+00
1.800000000000000044e+00,3.311374401161325309e+00,2.829700538572489599e+00,1.915742025844761054e+00,1.660905468046276034e+00
1.850000000000000089e+00,3.312912968922232082e+00,3.026781057354302806e+00,1.763717281205474663e+00,1.517243328969003269e+00
1.900000000000000133e+00,3.349244232104022334e+00,3.086790828642441920e+00,1.693369826359495400e+00,1.384453246778998281e+00
1.950000000000000178e+00,3.432299628711085848e+00,3.189309783119467223e+00,1.723337834541879943e+00,1.390806270575077219e+00
2.000000000000000000e+00,3.416584055898500782e+00,3.084621661415545724e+00,1.534166251667004488e+00,1.298672680127131773e+00
2.050000000000000266e+00,3.444344294306370458e+00,3.099033249800852818e+00,1.560045210980899766e+00,1.278483374674578066e+00
2.100000000000000089e+00,3.411847947418766402e+00,3.232127247950059790e+00,1.591544434614583725e+00,1.319666944573250955e+00
2.149999999999999911e+00,3.471166064907382776e+00,3.383149862054244394e+00,1.671187940756187151e+00,1.495832172317274500e+00
2.200000000000000178e+00,3.918629820023528332e+00,3.634908317757279850e+00,1.973296776171867606e+00,1.397666064770122896e+00
2.250000000000000000e+00,3.939876356778043487e+00,3.816164323076910225e+00,1.905567616861698399e+00,1.530174731359403628e+00
2.300000000000000266e+00,4.079731532994485654e+00,3.886501285313688658e+00,1.873330504696088417e+00,1.637492051230039714e+00
2.350000000000000089e+00,4.112397632981063644e+00,3.912416601670256178e+00,1.818653491624708129e+00,1.717686894358676053e+00
2.400000000000000355e+00,4.049432214496410332e+00,3.495734782150819786e+00,1.865307856481113635e+00,1.421937349117682547e+00
2.450000000000000178e+00,3.940998795094048823e+00,3.379210126602575581e+00,1.727273799490111728e+00,1.248064057822339645e+00
2.500000000000000000e+00,3.934614719865745069e+00,3.318716125682394491e+00,1.740691883605131496e+00,1.352064331641642969e+00
2.550000000000000266e+00,3.887639931197373500e+00,3.279788083111007335e+00,1.783811105948153397e+00,1.454295477371917888e+00
2.600000000000000089e+00,4.046303646891743711e+00,3.331639006645746193e+00,1.942424785515919128e+00,1.816101031291369905e+00
2.650000000000000355e+00,3.959475319366152046e+00,3.433160337994163758e+00,1.711018913608064684e+00,1.953272491533765365e+00
2.700000000000000178e+00,3.855807823174871807e+00,3.479717341385804019e+00,1.708528542132367933e+00,2.160294267075152153e+00
2.750000000000000000e+00,3.709260087511423887e+00,3.465060417150106264e+00,1.713885603867246976e+00,2.248155582692032528e+00
2.800000000000000266e+00,3.849434226053926267e+00,3.646285245840723110e+00,1.817108008515970319e+00,1.808376306804490685e+00
2.850000000000000089e+00,3.695893749405374962e+00,3.544403912374217480e+00,1.788339889245875280e+00,1.944682434142423810e+00
2.900000000000000355e+00,3.520141770079410648e+00,3.405670768099571699e+00,1.654054059652396713e+00,2.086381872805606275e+00
2.950000000000000178e+00,3.198508419997868391e+00,3.237563410667019248e+00,1.449317692615883502e+00,2.363320381126442271e+00
3.000000000000000000e+00,3.282301975532105232e+00,3.036595545251852712e+00,1.776237609488349634e+00,1.838921098246437902e+00
3.050000000000000266e+00,3.376796869085134212e+00,3.074726879511747946e+00,1.842668634511514858e+00,1.925483329098776508e+00
3.100000000000000089e+00,3.535562791794010007e+00,3.154050583793560847e+00,2.101398395856540979e+00,2.118436638646122194e+00
3.150000000000000355e+00,3.625919515934505011e+00,3.200350525375030841e+00,2.412556233629664426e+00,2.203651804305196471e+00
3.200000000000000178e+00,4.043826962797472113e+00,2.781750450429864241e+00,2.545469406340763019e+00,1.505602861690783945e+00
3.250000000000000000e+00,3.902727141706465286e+00,2.627445912673533002e+00,2.367228866376507757e+00,1.450095664363034498e+00
3.300000000000000266e+00,3.699426521328098350e+00,2.671446188784141196e+00,2.250791359787717383e+00,1.780008501150305511e+00
3.350000000000000089e+00,3.629151637437916023e+00,2.749071257244092070e+00,2.424577863570363867e+00,2.040305091243775681e+00
3.400000000000000355e+00,3.635611551158250077e+00,2.154157086176616609e+00,2.176227011832117864e+00,1.302117231993698887e+00
3.450000000000000178e+00,3.878158062762991243e+00,2.292786678149858037e+00,2.191688064604599973e+00,1.293413489296820762e+00
3.500000000000000000e+00,4.025223900744110850e+00,2.454931733323031384e+00,2.247291595594770985e+00,1.430256636582003082e+00
3.550000000000000266e+00,4.042857365431588690e+00,2.600459887636161760e+00,2.251349965043206947e+00,1.661901744799511249e+00
3.600000000000000089e+00,4.944304015531724161e+00,2.778657264992709486e+00,2.929008894866318435e+00,1.540193687156854896e+00
3.650000000000000355e+00,4.895446221070253401e+00,2.753676718079054897e+00,2.711778460859574746e+00,1.351247991959499517e+00
3.700000000000000178e+00,4.819640021796153917e+00,2.808038985006564570e+00,2.684158042547536205e+00,1.180314467613976515e+00
3.750000000000000000e+00,4.585502894377367689e+00,2.981708138318119428e+00,2.632244704400311441e+00,1.280181471211488065e+00
3.800000000000000266e+00,5.186146468738522586e+00,3.495848980259895544e+00,3.203025479852304791e+00,1.936525540036185600e+00
3.850000000000000089e+00,5.165452570190285364e+00,3.558039936355690713e+00,3.135270582450856214e+00,1.915052590080060568e+00
3.900000000000000355e+00,4.907646754523942612e+00,3.592351202377270347e+00,2.991430629548317288e+00,1.984708391059829546e+00
3.950000000000000178e+00,4.648917120538840209e+00,3.500668545267562770e+00,2.889275858472483360e+00,2.148962665121049387e+00
4.000000000000000000e+00,4.079158710494639628e+00,3.373373235404967030e+00,2.394820217973717025e+00,1.867483483800895794e+00
4.049999999999999822e+00,3.949832892558777786e+00,3.189365192511848690e+00,2.153768814326207703e+00,1.786403842548533794e+00
4.100000000000000533e+00,4.004514285533894657e+00,3.092597901324258380e+00,2.145508310592846524e+00,1.767871705895212697e+00
4.150000000000000355e+00,4.138189928140644014e+00,2.964663626371145444e+00,2.306582967116511451e+00,1.828529286967235157e+00
4.200000000000000178e+00,4.016617868480761189e+00,3.242062557133524869e+00,2.333843524692842841e+00,2.028756358393727144e+00
4.250000000000000000e+00,4.069169462992525688e+00,3.186781843559968852e+00,2.346964182426293455e+00,1.927662829555746526e+00
4.299999999999999822e+00,3.908445039086976269e+00,3.040223090020522712e+00,2.205338910481400294e+00,1.892076798506282298e+00
4.350000000000000533e+00,3.692496996556722699e+00,2.945541515907055707e+00,2.049866672749371066e+00,1.962115222656139135e+00
4.400000000000000355e+00,3.609729885790175619e+00,3.254944390590591929e+00,2.152330855689779554e+00,2.078942966238229051e+00
4.450000000000000178e+00,3.565266506205130970e+00,2.947288404083167279e+00,1.924462062553856878e+00,1.857216000227470465e+00
4.500000000000000000e+00,3.532533120646030422e+00,2.806287804239663064e+00,1.797050968412333916e+00,2.002030229929062877e+00
4.549999999999999822e+00,3.482989409706793715e+00,2.647883385519136379e+00,1.772696141154110006e+00,2.153924508669351034e+00
4.600000000000000533e+00,3.659350429248501957e+00,2.697209586892678423e+00,2.269122391416049211e+00,2.174930872710910013e+00
4.650000000000000355e+00,3.664166859216142047e+00,2.701778280835477553e+00,2.207597896000642379e+00,2.091821305901787387e+00
4.700000000000000178e+00,3.658084334679672089e+00,2.779706637246432965e+00,2.203781840692296878e+00,2.076284316283164344e+00
4.750000000000000000e+00,3.673589724566490577e+00,2.912623166749527037e+00,2.377201195372486975e+00,2.271506293599403481e+00
4.800000000000000711e+00,4.159467563567104342e+00,3.570320840619842340e+00,2.320567142138229677e+00,2.151749747230553567e+00
4.850000000000000533e+00,4.356751561311527077e+00,3.537612571841978415e+00,2.434832550603301726e+00,2.073144826670904273e+00
4.900000000000000355e+00,4.568144343485929681e+00,3.514174648942724133e+00,2.703270003218207318e+00,2.038344815656635944e+00
4.950000000000000178e+00,4.727861293287046074e+00,3.512939631774630200e+00,3.102398244870462563e+00,2.028089487451634643e+00
