method,rmse,improvement_vs_enkf
EnKF,2.8895721109841435,0.0
EAKF,2.5161789036523303,12.922093410039217
EnKF+Transformer,2.377762339335825,17.712303136605374
EAKF+Transformer,2.0685695079061492,28.412601296818767
